z,rho_model,rho_m1,rho_ref
-1.05,1e-08,1e-08,1e-08
-0.75,1e-08,1e-08,1e-08
-0.45,0.000206914062716547,0.000206914062716547,1e-08
-0.15,0.0247971545198668,0.0247971545198668,0.00375000998124999
0.15,1.97520285548013,1.97520285548013,1.99625000001875
0.45,1.99979309593729,1.99979309593729,2
0.75,1.99958658854373,1.99958658854373,2
1.05,1.9754101563729,1.9754101563729,1.99625000001875
