model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps,time_reference_s,time_model_build_s,time_quad_build_s,time_solver_total_s,time_step_sum_s,time_source_sum_s,time_flux_sum_s,time_flux_jacobian_sum_s,time_flux_reconstruct_sum_s,time_flux_limiter_flux_sum_s
PN,3,4,0.567508925835809,1.94042997228856,1.99411872664204,1e-08,5.8057873,1,0.000752,9.1e-05,0.0008898,5.8057873,5.8057051,0.0001365,5.8054389,0.0050568,0.0002457,5.7999472
MN,1,2,0.567528953241707,1.94046270099361,1.99140577293684,1e-08,6.8223737,1,0.000752,0.0001137,0.0008933,6.8223737,6.8222877,0.0001525,6.8220027,1.0936271,0.0002819,5.7279046
