z,rho_model,rho_m1,rho_ref
-1.11428571428571,1e-08,1e-08,9.99999999999999e-09
-0.942857142857143,1e-08,1e-08,9.99999999999999e-09
-0.771428571428571,1e-08,1e-08,9.99999999999999e-09
-0.6,1e-08,1e-08,9.99999999999999e-09
-0.428571428571429,0.0205347593823292,0.0205347593823292,9.99999999999999e-09
-0.257142857142857,0.405439429693332,0.405439429693332,0.000274095366424219
-0.0857142857142857,5.40735917427747,5.40735917427747,2.48676872533706
0.0857142857142857,5.4073591742238,5.4073591742238,2.48676872533705
0.257142857142857,0.405439429706901,0.405439429706901,0.000274095366424218
0.428571428571429,0.020534759382823,0.020534759382823,9.99999999999999e-09
0.6,1e-08,1e-08,9.99999999999999e-09
0.771428571428571,1e-08,1e-08,9.99999999999999e-09
0.942857142857143,1e-08,1e-08,9.99999999999999e-09
1.11428571428571,1e-08,1e-08,9.99999999999999e-09
