mu,psi_ref_gauss,psi_hat_gauss,psi_ref_heaviside,psi_hat_heaviside
-1,0.107981933026376,0.11965538374644,5e-09,4.95063096055998e-09
-0.9975,0.109065806164265,0.120548911472408,5e-09,4.95205951175078e-09
-0.995,0.110157804744252,0.121449111625242,5e-09,4.95348847516347e-09
-0.9925,0.111257955248048,0.122356034031353,5e-09,4.954917850917e-09
-0.99,0.112366283807736,0.123269728889232,5e-09,4.95634763913038e-09
-0.9875,0.113482816199648,0.124190246772226,5e-09,4.95777783992262e-09
-0.985,0.114607577838234,0.125117638631343,5e-09,4.95920845341275e-09
-0.9825,0.115740593769912,0.126051955798063,5e-09,4.96063947971989e-09
-0.98,0.116881888666903,0.126993249987189,5e-09,4.96207091896315e-09
-0.9775,0.11803148682105,0.127941573299702,5e-09,4.96350277126169e-09
-0.975,0.119189412137632,0.128896978225648,5e-09,4.96493503673467e-09
-0.9725,0.120355688129153,0.129859517647044,5e-09,4.96636771550137e-09
-0.97,0.12153033790913,0.130829244840803,5e-09,4.96780080768102e-09
-0.9675,0.122713384185865,0.131806213481684,5e-09,4.96923431339289e-09
-0.965,0.12390484925621,0.132790477645262,5e-09,4.97066823275636e-09
-0.9625,0.12510475499932,0.133782091810924,5e-09,4.97210256589076e-09
-0.96,0.126313122870397,0.134781110864881,5e-09,4.97353731291549e-09
-0.9575,0.127529973894433,0.135787590103206,5e-09,4.97497247394999e-09
-0.955,0.128755328659939,0.136801585234898,5e-09,4.97640804911373e-09
-0.9525,0.12998920731267,0.137823152384964,5e-09,4.97784403852619e-09
-0.95,0.131231629549353,0.138852348097523,5e-09,4.97928044230694e-09
-0.9475,0.132482614611397,0.139889229338938,5e-09,4.98071726057552e-09
-0.945,0.133742181278614,0.14093385350097,5e-09,4.98215449345153e-09
-0.9425,0.135010347862928,0.141986278403953,5e-09,4.98359214105464e-09
-0.94,0.136287132202089,0.143046562299994,5e-09,4.98503020350451e-09
-0.9375,0.137572551653384,0.144114763876201,5e-09,4.98646868092082e-09
-0.935,0.138866623087348,0.145190942257925,5e-09,4.98790757342336e-09
-0.9325,0.140169362881483,0.146275157012039,5e-09,4.98934688113189e-09
-0.93,0.141480786913967,0.147367468150229,5e-09,4.9907866041662e-09
-0.9275,0.142800910557382,0.148467936132323,5e-09,4.99222674264614e-09
