mu,psi_ref_gauss,psi_hat_gauss,psi_ref_heaviside,psi_hat_heaviside
-1,0.107981933026376,0.129709574642632,5e-09,1.73452684272906e-252
-0.9975,0.109065806164265,0.130555556773308,5e-09,1.51266109915073e-251
-0.995,0.110157804744252,0.131407056505652,5e-09,1.31917451175578e-250
-0.9925,0.111257955248048,0.132264109826155,5e-09,1.15043706316157e-249
-0.99,0.112366283807736,0.133126752956016,5e-09,1.00328305656411e-248
-0.9875,0.113482816199648,0.133995022352673,5e-09,8.74951723845204e-248
-0.985,0.114607577838234,0.134868954711346,5e-09,7.63035430580849e-247
-0.9825,0.115740593769912,0.135748586966582,5e-09,6.65434506218056e-246
-0.98,0.116881888666903,0.136633956293825,5e-09,5.80317851988328e-245
-0.9775,0.11803148682105,0.137525100110976,5e-09,5.06088587516124e-244
-0.975,0.119189412137632,0.138422056079984,5e-09,4.41354091618083e-243
-0.9725,0.120355688129153,0.139324862108434,5e-09,3.84899875225491e-242
-0.97,0.12153033790913,0.140233556351148,5e-09,3.35666796257539e-241
-0.9675,0.122713384185865,0.141148177211798,5e-09,2.92731188971657e-240
-0.965,0.12390484925621,0.14206876334453,5e-09,2.55287534996559e-239
-0.9625,0.12510475499932,0.142995353655598,5e-09,2.22633350937248e-238
-0.96,0.126313122870397,0.143927987305008,5e-09,1.94156009028078e-237
-0.9575,0.127529973894433,0.144866703708169,5e-09,1.69321243573882e-236
-0.955,0.128755328659939,0.145811542537567,5e-09,1.4766312754839e-235
-0.9525,0.12998920731267,0.146762543724433,5e-09,1.28775331300161e-234
-0.95,0.131231629549353,0.147719747460437,5e-09,1.12303499369024e-233
-0.9475,0.132482614611397,0.148683194199382,5e-09,9.79386023953139e-233
-0.945,0.133742181278614,0.149652924658918,5e-09,8.54111393949311e-232
-0.9425,0.135010347862928,0.15062897982226,5e-09,7.44860816299562e-231
-0.94,0.136287132202089,0.151611400939919,5e-09,6.49584632155577e-230
-0.9375,0.137572551653384,0.15260022953145,5e-09,5.66495357386269e-229
-0.935,0.138866623087348,0.1535955073872,5e-09,4.94034147444757e-228
-0.9325,0.140169362881483,0.154597276570082,5e-09,4.30841551760684e-227
-0.93,0.141480786913967,0.155605579417344,5e-09,3.75732008978686e-226
-0.9275,0.142800910557382,0.156620458542368,5e-09,3.27671604547577e-225
-0.925,0.144129748672436,0.157641956836462,5e-09,2.85758673365681e-224
-0.9225,0.145467315601693,0.158670117470677,5e-09,2.49206883570123e-223
-0.92,0.146813625163314,0.159704983897633,5e-09,2.17330484101384e-222
-0.9175,0.148168690644797,0.160746599853352,5e-09,1.89531439272809e-221
-0.915,0.149532524796735,0.161795009359107,5e-09,1.6528820897516e-220
-0.9125,0.15090513982658,0.162850256723285,5e-09,1.44145964020767e-219
-0.91,0.152286547392415,0.163912386543257,5e-09,1.2570805305655e-218
-0.9075,0.153676758596738,0.164981443707264,5e-09,1.09628560956391e-217
-0.905,0.155075783980268,0.166057473396313,5e-09,9.56058190795664e-217
-0.9025,0.15648363351575,0.167140521086089,5e-09,8.33767456412465e-216
-0.9,0.157900316601788,0.168230632548872,5e-09,7.27119100139513e-215
-0.8975,0.159325842056686,0.169327853855477,5e-09,6.34112283612742e-214
-0.895,0.160760218112308,0.170432231377199,5e-09,5.53002098488975e-213
-0.8925,0.16220345240796,0.17154381178777,5e-09,4.82266830080821e-212
-0.89,0.163655551984286,0.172662642065337,5e-09,4.2057940834535e-211
-0.8875,0.165116523277183,0.173788769494441,5e-09,3.66782510616479e-210
-0.885,0.166586372111749,0.174922241668022,5e-09,3.19866848981968e-209
-0.8825,0.168065103696237,0.176063106489424,5e-09,2.7895223495169e-208
-0.88,0.169552722616044,0.177211412174426,5e-09,2.43271066170859e-207
-0.8775,0.171049232827725,0.178367207253274,5e-09,2.12153925370563e-206
-0.875,0.172554637653023,0.179530540572734,5e-09,1.85017021376997e-205
-0.8725,0.174068939772937,0.180701461298158,5e-09,1.61351236558208e-204
-0.87,0.175592141221811,0.181880018915562,5e-09,1.4071257522743e-203
-0.8675,0.177124243381459,0.183066263233712,5e-09,1.22713833804359e-202
-0.865,0.17866524697531,0.184260244386237,5e-09,1.07017336457846e-201
-0.8625,0.180215152062596,0.185462012833741,5e-09,9.33285999424592e-201
-0.86,0.181773958032566,0.18667161936594,5e-09,8.13908087747218e-200
-0.8575,0.183341663598733,0.187889115103806,5e-09,7.09799970972075e-199
-0.855,0.184918266793161,0.18911455150173,5e-09,6.19008468371963e-198
-0.8525,0.186503764960787,0.190347980349693,5e-09,5.39830233285933e-197
-0.85,0.188098154753774,0.191589453775457,5e-09,4.70779796496255e-196
-0.8475,0.189701432125911,0.19283902424677,5e-09,4.10561697220859e-195
-0.845,0.191313592327048,0.194096744573578,5e-09,3.58046178870407e-194
-0.8425,0.192934629897574,0.195362667910263,5e-09,3.12247993593852e-193
-0.84,0.194564538662935,0.196636847757885,5e-09,2.72307917964691e-192
-0.8375,0.196203311728196,0.197919337966444,5e-09,2.37476633021042e-191
-0.835,0.197850941472647,0.199210192737158,5e-09,2.07100666233007e-190
-0.8325,0.19950741954446,0.200509466624752,5e-09,1.80610131651785e-189
-0.83,0.201172736855381,0.201817214539763,5e-09,1.57508038233823e-188
-0.8275,0.202846883575482,0.203133491750861,5e-09,1.37360965751919e-187
-0.825,0.204529849127956,0.204458353887187,5e-09,1.19790933363583e-186
-0.8225,0.206221622183963,0.205791856940701,5e-09,1.04468308282251e-185
-0.82,0.207922190657528,0.207134057268549,5e-09,9.11056215100271e-185
-0.8175,0.209631541700495,0.208485011595447,5e-09,7.94521746088135e-184
-0.815,0.211349661697527,0.209844777016076,5e-09,6.92893363267809e-183
-0.8125,0.21307653626117,0.211213410997494,5e-09,6.04264408399649e-182
-0.81,0.214812150226968,0.212590971381569,5e-09,5.26972106554079e-181
-0.8075,0.216556487648636,0.21397751638742,5e-09,4.59566370658048e-180
