mu,psi_ref,psi_hat
-1,5e-09,4.99864145253049e-09
-0.999,5e-09,4.99868016349015e-09
-0.998,5e-09,4.9987188747496e-09
-0.997,5e-09,4.99875758630882e-09
-0.996,5e-09,4.99879629816786e-09
-0.995,5e-09,4.99883501032668e-09
-0.994,5e-09,4.99887372278529e-09
-0.993,5e-09,4.99891243554374e-09
-0.992,5e-09,4.99895114860195e-09
-0.991,5e-09,4.99898986196e-09
-0.99,5e-09,4.99902857561783e-09
-0.989,5e-09,4.99906728957548e-09
-0.988,5e-09,4.99910600383296e-09
-0.987,5e-09,4.99914471839021e-09
-0.986,5e-09,4.9991834332473e-09
-0.985,5e-09,4.99922214840423e-09
-0.984,5e-09,4.99926086386097e-09
-0.983,5e-09,4.99929957961754e-09
-0.982,5e-09,4.9993382956739e-09
-0.981,5e-09,4.99937701203012e-09
-0.98,5e-09,4.99941572868617e-09
-0.979,5e-09,4.99945444564205e-09
-0.978,5e-09,4.99949316289776e-09
-0.977,5e-09,4.99953188045331e-09
-0.976,5e-09,4.9995705983087e-09
-0.975,5e-09,4.99960931646393e-09
-0.974,5e-09,4.99964803491902e-09
-0.973,5e-09,4.99968675367395e-09
-0.972,5e-09,4.99972547272874e-09
-0.971,5e-09,4.99976419208334e-09
-0.97,5e-09,4.99980291173782e-09
-0.969,5e-09,4.99984163169218e-09
-0.968,5e-09,4.99988035194637e-09
-0.967,5e-09,4.99991907250043e-09
-0.966,5e-09,4.99995779335434e-09
-0.965,5e-09,4.99999651450813e-09
-0.964,5e-09,5.0000352359618e-09
-0.963,5e-09,5.00007395771532e-09
-0.962,5e-09,5.00011267976872e-09
-0.961,5e-09,5.00015140212199e-09
-0.96,5e-09,5.00019012477515e-09
-0.959,5e-09,5.00022884772818e-09
-0.958,5e-09,5.00026757098109e-09
-0.957,5e-09,5.00030629453389e-09
-0.956,5e-09,5.00034501838657e-09
-0.955,5e-09,5.00038374253914e-09
-0.954,5e-09,5.00042246699162e-09
-0.953,5e-09,5.00046119174397e-09
-0.952,5e-09,5.0004999167962e-09
-0.951,5e-09,5.00053864214837e-09
-0.95,5e-09,5.00057736780042e-09
-0.949,5e-09,5.00061609375239e-09
-0.948,5e-09,5.00065482000425e-09
-0.947,5e-09,5.00069354655601e-09
-0.946,5e-09,5.00073227340769e-09
-0.945,5e-09,5.00077100055928e-09
-0.944,5e-09,5.00080972801078e-09
-0.943,5e-09,5.00084845576221e-09
-0.942,5e-09,5.00088718381353e-09
-0.941,5e-09,5.00092591216481e-09
-0.94,5e-09,5.00096464081601e-09
-0.939,5e-09,5.0010033697671e-09
-0.938,5e-09,5.00104209901816e-09
-0.937,5e-09,5.00108082856913e-09
-0.936,5e-09,5.00111955842003e-09
-0.935,5e-09,5.00115828857087e-09
-0.934,5e-09,5.00119701902164e-09
-0.933,5e-09,5.00123574977238e-09
-0.932,5e-09,5.00127448082301e-09
-0.931,5e-09,5.00131321217363e-09
-0.93,5e-09,5.00135194382418e-09
-0.929,5e-09,5.00139067577468e-09
-0.928,5e-09,5.00142940802515e-09
-0.927,5e-09,5.00146814057555e-09
-0.926,5e-09,5.00150687342592e-09
-0.925,5e-09,5.00154560657623e-09
-0.924,5e-09,5.00158434002651e-09
-0.923,5e-09,5.00162307377678e-09
-0.922,5e-09,5.00166180782699e-09
-0.921,5e-09,5.00170054217716e-09
-0.92,5e-09,5.00173927682731e-09
-0.919,5e-09,5.00177801177743e-09
-0.918,5e-09,5.00181674702754e-09
-0.917,5e-09,5.00185548257761e-09
-0.916,5e-09,5.00189421842767e-09
-0.915,5e-09,5.0019329545777e-09
-0.914,5e-09,5.00197169102772e-09
