mu,psi_ref,psi_hat
-1,5e-09,4.99999985198385e-09
-0.999,5e-09,4.99999986375114e-09
-0.998,5e-09,4.99999987551843e-09
-0.997,5e-09,4.99999988728572e-09
-0.996,5e-09,4.99999989905301e-09
-0.995,5e-09,4.9999999108203e-09
-0.994,5e-09,4.99999992258759e-09
-0.993,5e-09,4.99999993435487e-09
-0.992,5e-09,4.99999994612216e-09
-0.991,5e-09,4.99999995788945e-09
-0.99,5e-09,4.99999996965674e-09
-0.989,5e-09,4.99999998142403e-09
-0.988,5e-09,4.99999999319132e-09
-0.987,5e-09,5.00000000495861e-09
-0.986,5e-09,5.0000000167259e-09
-0.985,5e-09,5.00000002849319e-09
-0.984,5e-09,5.00000004026048e-09
-0.983,5e-09,5.00000005202777e-09
-0.982,5e-09,5.00000006379506e-09
-0.981,5e-09,5.00000007556235e-09
-0.98,5e-09,5.00000008732964e-09
-0.979,5e-09,5.00000009909693e-09
-0.978,5e-09,5.00000011086422e-09
-0.977,5e-09,5.0000001226315e-09
-0.976,5e-09,5.00000013439879e-09
-0.975,5e-09,5.00000014616608e-09
-0.974,5e-09,5.00000015793337e-09
-0.973,5e-09,5.00000016970066e-09
-0.972,5e-09,5.00000018146795e-09
-0.971,5e-09,5.00000019323524e-09
-0.97,5e-09,5.00000020500253e-09
-0.969,5e-09,5.00000021676982e-09
-0.968,5e-09,5.00000022853711e-09
-0.967,5e-09,5.0000002403044e-09
-0.966,5e-09,5.00000025207169e-09
-0.965,5e-09,5.00000026383898e-09
-0.964,5e-09,5.00000027560627e-09
-0.963,5e-09,5.00000028737355e-09
-0.962,5e-09,5.00000028670748e-09
-0.961,5e-09,5.00000025140561e-09
-0.96,5e-09,5.00000021610375e-09
-0.959,5e-09,5.00000018080188e-09
-0.958,5e-09,5.00000014550001e-09
-0.957,5e-09,5.00000011019814e-09
-0.956,5e-09,5.00000007489627e-09
-0.955,5e-09,5.00000003959441e-09
-0.954,5e-09,5.00000000429254e-09
-0.953,5e-09,4.99999996899067e-09
-0.952,5e-09,4.9999999336888e-09
-0.951,5e-09,4.99999989838693e-09
-0.95,5e-09,4.99999986308507e-09
-0.949,5e-09,4.9999998277832e-09
-0.948,5e-09,4.99999979248133e-09
-0.947,5e-09,4.99999975717946e-09
-0.946,5e-09,4.9999997218776e-09
-0.945,5e-09,4.99999968657573e-09
-0.944,5e-09,4.99999965127386e-09
-0.943,5e-09,4.99999961597199e-09
-0.942,5e-09,4.99999958067012e-09
-0.941,5e-09,4.99999954536825e-09
-0.94,5e-09,4.99999951006639e-09
-0.939,5e-09,4.99999947476452e-09
-0.938,5e-09,4.99999943946265e-09
-0.937,5e-09,4.99999940416078e-09
-0.936,5e-09,4.99999936885891e-09
-0.935,5e-09,4.99999933355705e-09
-0.934,5e-09,4.99999929825518e-09
-0.933,5e-09,4.99999926295331e-09
-0.932,5e-09,4.99999922765144e-09
-0.931,5e-09,4.99999919234958e-09
-0.93,5e-09,4.99999915704771e-09
-0.929,5e-09,4.99999912174584e-09
-0.928,5e-09,4.99999908644397e-09
-0.927,5e-09,4.9999990511421e-09
-0.926,5e-09,4.99999901584023e-09
-0.925,5e-09,4.99999898053837e-09
-0.924,5e-09,4.99999903227004e-09
-0.923,5e-09,4.99999916171022e-09
-0.922,5e-09,4.9999992911504e-09
-0.921,5e-09,4.99999942059059e-09
-0.92,5e-09,4.99999955003077e-09
-0.919,5e-09,4.99999967947095e-09
-0.918,5e-09,4.99999980891114e-09
-0.917,5e-09,4.99999993835132e-09
-0.916,5e-09,5.00000006779151e-09
-0.915,5e-09,5.00000019723169e-09
-0.914,5e-09,5.00000032667187e-09
-0.913,5e-09,5.00000045611206e-09
-0.912,5e-09,5.00000058555224e-09
-0.911,5e-09,5.00000071499242e-09
-0.91,5e-09,5.00000084443261e-09
-0.909,5e-09,5.00000097387279e-09
-0.908,5e-09,5.00000110331298e-09
-0.907,5e-09,5.00000123275316e-09
-0.906,5e-09,5.00000136219334e-09
-0.905,5e-09,5.00000149163353e-09
-0.904,5e-09,5.00000162107371e-09
-0.903,5e-09,5.00000175051389e-09
-0.902,5e-09,5.00000187995408e-09
-0.901,5e-09,5.00000200939426e-09
-0.9,5e-09,5.00000213883445e-09
-0.899,5e-09,5.00000226827463e-09
-0.898,5e-09,5.00000239771481e-09
-0.897,5e-09,5.000002527155e-09
-0.896,5e-09,5.00000265659518e-09
-0.895,5e-09,5.00000278603537e-09
-0.894,5e-09,5.00000291547555e-09
-0.893,5e-09,5.00000304491573e-09
-0.892,5e-09,5.00000317435592e-09
-0.891,5e-09,5.0000033037961e-09
-0.89,5e-09,5.00000343323628e-09
-0.889,5e-09,5.00000356267647e-09
-0.888,5e-09,5.00000369211665e-09
-0.887,5e-09,5.00000382155684e-09
-0.886,5e-09,5.00000346609588e-09
-0.885,5e-09,5.00000298363701e-09
-0.884,5e-09,5.00000250117814e-09
-0.883,5e-09,5.00000201871927e-09
-0.882,5e-09,5.0000015362604e-09
-0.881,5e-09,5.00000105380153e-09
-0.88,5e-09,5.00000057134267e-09
-0.879,5e-09,5.0000000888838e-09
-0.878,5e-09,4.99999960642493e-09
-0.877,5e-09,4.99999912396606e-09
-0.876,5e-09,4.99999864150719e-09
-0.875,5e-09,4.99999815904832e-09
-0.874,5e-09,4.99999767658945e-09
-0.873,5e-09,4.99999719413058e-09
-0.872,5e-09,4.99999671167171e-09
-0.871,5e-09,4.99999622921284e-09
-0.87,5e-09,4.99999574675397e-09
-0.869,5e-09,4.9999952642951e-09
-0.868,5e-09,4.99999478183623e-09
-0.867,5e-09,4.99999429937736e-09
-0.866,5e-09,4.99999381691849e-09
-0.865,5e-09,4.99999333445962e-09
-0.864,5e-09,4.99999285200075e-09
-0.863,5e-09,4.99999236954188e-09
-0.862,5e-09,4.99999188708302e-09
-0.861,5e-09,4.99999140462415e-09
-0.86,5e-09,4.99999092216528e-09
-0.859,5e-09,4.99999043970641e-09
-0.858,5e-09,4.99998995724754e-09
-0.857,5e-09,4.99998947478867e-09
-0.856,5e-09,4.9999889923298e-09
-0.855,5e-09,4.99998850987093e-09
-0.854,5e-09,4.99998802741206e-09
-0.853,5e-09,4.99998754495319e-09
-0.852,5e-09,4.99998706249432e-09
-0.851,5e-09,4.99998658003545e-09
-0.85,5e-09,4.99998609757658e-09
-0.849,5e-09,4.99998574433587e-09
-0.848,5e-09,4.99998754473117e-09
-0.847,5e-09,4.99998934512646e-09
-0.846,5e-09,4.99999114552176e-09
-0.845,5e-09,4.99999294591705e-09
-0.844,5e-09,4.99999474631235e-09
-0.843,5e-09,4.99999654670764e-09
-0.842,5e-09,4.99999834710294e-09
-0.841,5e-09,5.00000014749823e-09
-0.84,5e-09,5.00000194789353e-09
-0.839,5e-09,5.00000374828883e-09
-0.838,5e-09,5.00000554868412e-09
-0.837,5e-09,5.00000734907942e-09
-0.836,5e-09,5.00000914947471e-09
-0.835,5e-09,5.00001094987001e-09
-0.834,5e-09,5.0000127502653e-09
-0.833,5e-09,5.0000145506606e-09
-0.832,5e-09,5.00001635105589e-09
-0.831,5e-09,5.00001815145119e-09
-0.83,5e-09,5.00001995184648e-09
-0.829,5e-09,5.00002175224178e-09
-0.828,5e-09,5.00002355263707e-09
-0.827,5e-09,5.00002535303237e-09
-0.826,5e-09,5.00002715342766e-09
-0.825,5e-09,5.00002895382296e-09
-0.824,5e-09,5.00003075421825e-09
-0.823,5e-09,5.00003255461355e-09
-0.822,5e-09,5.00003435500884e-09
-0.821,5e-09,5.00003615540414e-09
-0.82,5e-09,5.00003795579943e-09
-0.819,5e-09,5.00003975619473e-09
-0.818,5e-09,5.00004155659002e-09
-0.817,5e-09,5.00004335698532e-09
-0.816,5e-09,5.00004515738061e-09
-0.815,5e-09,5.00004695777591e-09
-0.814,5e-09,5.0000487581712e-09
-0.813,5e-09,5.0000505585665e-09
-0.812,5e-09,5.00005235896179e-09
-0.811,5e-09,5.00005142668163e-09
-0.81,5e-09,5.00004470755932e-09
-0.809,5e-09,5.00003798843701e-09
-0.808,5e-09,5.0000312693147e-09
-0.807,5e-09,5.00002455019239e-09
-0.806,5e-09,5.00001783107007e-09
-0.805,5e-09,5.00001111194776e-09
-0.804,5e-09,5.00000439282545e-09
-0.803,5e-09,4.99999767370314e-09
-0.802,5e-09,4.99999095458083e-09
-0.801,5e-09,4.99998423545852e-09
-0.8,5e-09,4.99997751633621e-09
-0.799,5e-09,4.99997079721389e-09
-0.798,5e-09,4.99996407809158e-09
-0.797,5e-09,4.99995735896927e-09
-0.796,5e-09,4.99995063984696e-09
-0.795,5e-09,4.99994392072465e-09
-0.794,5e-09,4.99993720160234e-09
-0.793,5e-09,4.99993048248003e-09
-0.792,5e-09,4.99992376335772e-09
-0.791,5e-09,4.9999170442354e-09
-0.79,5e-09,4.99991032511309e-09
-0.789,5e-09,4.99990360599078e-09
-0.788,5e-09,4.99989688686847e-09
-0.787,5e-09,4.99989016774616e-09
-0.786,5e-09,4.99988344862385e-09
-0.785,5e-09,4.99987672950153e-09
-0.784,5e-09,4.99987001037922e-09
-0.783,5e-09,4.99986329125691e-09
-0.782,5e-09,4.9998565721346e-09
-0.781,5e-09,4.99984985301229e-09
-0.78,5e-09,4.99984313388998e-09
-0.779,5e-09,4.99983641476767e-09
-0.778,5e-09,4.99982969564535e-09
-0.777,5e-09,4.99982297652304e-09
-0.776,5e-09,4.99981625740073e-09
-0.775,5e-09,4.99980953827842e-09
-0.774,5e-09,4.99980281915611e-09
-0.773,5e-09,4.99981469723576e-09
-0.772,5e-09,4.99983977332971e-09
-0.771,5e-09,4.99986484942366e-09
-0.77,5e-09,4.99988992551761e-09
-0.769,5e-09,4.99991500161156e-09
-0.768,5e-09,4.99994007770551e-09
-0.767,5e-09,4.99996515379947e-09
-0.766,5e-09,4.99999022989342e-09
-0.765,5e-09,5.00001530598737e-09
-0.764,5e-09,5.00004038208132e-09
-0.763,5e-09,5.00006545817527e-09
-0.762,5e-09,5.00009053426922e-09
-0.761,5e-09,5.00011561036317e-09
-0.76,5e-09,5.00014068645712e-09
-0.759,5e-09,5.00016576255107e-09
-0.758,5e-09,5.00019083864502e-09
-0.757,5e-09,5.00021591473897e-09
-0.756,5e-09,5.00024099083292e-09
-0.755,5e-09,5.00026606692687e-09
-0.754,5e-09,5.00029114302082e-09
-0.753,5e-09,5.00031621911477e-09
-0.752,5e-09,5.00034129520872e-09
-0.751,5e-09,5.00036637130267e-09
-0.75,5e-09,5.00039144739662e-09
-0.749,5e-09,5.00041652349057e-09
-0.748,5e-09,5.00044159958452e-09
-0.747,5e-09,5.00046667567847e-09
-0.746,5e-09,5.00049175177243e-09
-0.745,5e-09,5.00051682786638e-09
-0.744,5e-09,5.00054190396033e-09
-0.743,5e-09,5.00056698005428e-09
-0.742,5e-09,5.00059205614823e-09
-0.741,5e-09,5.00061713224218e-09
-0.74,5e-09,5.00064220833613e-09
-0.739,5e-09,5.00066728443008e-09
-0.738,5e-09,5.00069236052403e-09
-0.737,5e-09,5.00071743661798e-09
-0.736,5e-09,5.00074251271193e-09
-0.735,5e-09,5.00066683860522e-09
-0.734,5e-09,5.00057325335173e-09
-0.733,5e-09,5.00047966809824e-09
-0.732,5e-09,5.00038608284475e-09
-0.731,5e-09,5.00029249759126e-09
-0.73,5e-09,5.00019891233777e-09
-0.729,5e-09,5.00010532708428e-09
-0.728,5e-09,5.00001174183079e-09
-0.727,5e-09,4.9999181565773e-09
-0.726,5e-09,4.99982457132381e-09
-0.725,5e-09,4.99973098607032e-09
-0.724,5e-09,4.99963740081683e-09
-0.723,5e-09,4.99954381556334e-09
-0.722,5e-09,4.99945023030985e-09
-0.721,5e-09,4.99935664505636e-09
-0.72,5e-09,4.99926305980287e-09
-0.719,5e-09,4.99916947454938e-09
-0.718,5e-09,4.99907588929589e-09
-0.717,5e-09,4.9989823040424e-09
-0.716,5e-09,4.99888871878891e-09
-0.715,5e-09,4.99879513353542e-09
-0.714,5e-09,4.99870154828193e-09
-0.713,5e-09,4.99860796302844e-09
-0.712,5e-09,4.99851437777494e-09
-0.711,5e-09,4.99842079252145e-09
-0.71,5e-09,4.99832720726796e-09
-0.709,5e-09,4.99823362201447e-09
-0.708,5e-09,4.99814003676098e-09
-0.707,5e-09,4.99804645150749e-09
-0.706,5e-09,4.997952866254e-09
-0.705,5e-09,4.99785928100051e-09
-0.704,5e-09,4.99776569574702e-09
-0.703,5e-09,4.99767211049353e-09
-0.702,5e-09,4.99757852524004e-09
-0.701,5e-09,4.99748493998655e-09
-0.7,5e-09,4.99739135473306e-09
-0.699,5e-09,4.99729776947957e-09
-0.698,5e-09,4.99725431820798e-09
-0.697,5e-09,4.997603583128e-09
-0.696,5e-09,4.99795284804801e-09
-0.695,5e-09,4.99830211296802e-09
-0.694,5e-09,4.99865137788803e-09
-0.693,5e-09,4.99900064280804e-09
-0.692,5e-09,4.99934990772805e-09
-0.691,5e-09,4.99969917264806e-09
-0.69,5e-09,5.00004843756807e-09
-0.689,5e-09,5.00039770248808e-09
-0.688,5e-09,5.00074696740809e-09
-0.687,5e-09,5.00109623232811e-09
-0.686,5e-09,5.00144549724812e-09
-0.685,5e-09,5.00179476216813e-09
-0.684,5e-09,5.00214402708814e-09
-0.683,5e-09,5.00249329200815e-09
-0.682,5e-09,5.00284255692816e-09
-0.681,5e-09,5.00319182184817e-09
-0.68,5e-09,5.00354108676818e-09
-0.679,5e-09,5.00389035168819e-09
-0.678,5e-09,5.00423961660821e-09
-0.677,5e-09,5.00458888152822e-09
-0.676,5e-09,5.00493814644823e-09
-0.675,5e-09,5.00528741136824e-09
-0.674,5e-09,5.00563667628825e-09
-0.673,5e-09,5.00598594120826e-09
-0.672,5e-09,5.00633520612827e-09
-0.671,5e-09,5.00668447104828e-09
-0.67,5e-09,5.00703373596829e-09
-0.669,5e-09,5.0073830008883e-09
-0.668,5e-09,5.00773226580832e-09
-0.667,5e-09,5.00808153072833e-09
-0.666,5e-09,5.00843079564834e-09
-0.665,5e-09,5.00878006056835e-09
-0.664,5e-09,5.00912932548836e-09
-0.663,5e-09,5.00947859040837e-09
-0.662,5e-09,5.00982785532838e-09
-0.661,5e-09,5.01017712024839e-09
-0.66,5e-09,5.00990270994328e-09
-0.659,5e-09,5.00859923551673e-09
-0.658,5e-09,5.00729576109018e-09
-0.657,5e-09,5.00599228666362e-09
-0.656,5e-09,5.00468881223707e-09
-0.655,5e-09,5.00338533781052e-09
-0.654,5e-09,5.00208186338396e-09
-0.653,5e-09,5.00077838895741e-09
-0.652,5e-09,4.99947491453085e-09
-0.651,5e-09,4.9981714401043e-09
-0.65,5e-09,4.99686796567775e-09
-0.649,5e-09,4.99556449125119e-09
-0.648,5e-09,4.99426101682464e-09
-0.647,5e-09,4.99295754239809e-09
-0.646,5e-09,4.99165406797153e-09
-0.645,5e-09,4.99035059354498e-09
-0.644,5e-09,4.98904711911843e-09
-0.643,5e-09,4.98774364469187e-09
-0.642,5e-09,4.98644017026532e-09
-0.641,5e-09,4.98513669583877e-09
-0.64,5e-09,4.98383322141221e-09
-0.639,5e-09,4.98252974698566e-09
-0.638,5e-09,4.9812262725591e-09
-0.637,5e-09,4.97992279813255e-09
-0.636,5e-09,4.978619323706e-09
-0.635,5e-09,4.97731584927944e-09
-0.634,5e-09,4.97601237485289e-09
-0.633,5e-09,4.97470890042634e-09
-0.632,5e-09,4.97340542599978e-09
-0.631,5e-09,4.97210195157323e-09
-0.63,5e-09,4.97079847714668e-09
-0.629,5e-09,4.96949500272012e-09
-0.628,5e-09,4.96819152829357e-09
-0.627,5e-09,4.96688805386701e-09
-0.626,5e-09,4.96558457944046e-09
-0.625,5e-09,4.96428110501391e-09
-0.624,5e-09,4.96297763058735e-09
-0.623,5e-09,4.9616741561608e-09
-0.622,5e-09,4.96432758070092e-09
-0.621,5e-09,4.96919221348712e-09
-0.62,5e-09,4.97405684627333e-09
-0.619,5e-09,4.97892147905953e-09
-0.618,5e-09,4.98378611184573e-09
-0.617,5e-09,4.98865074463194e-09
-0.616,5e-09,4.99351537741814e-09
-0.615,5e-09,4.99838001020434e-09
-0.614,5e-09,5.00324464299055e-09
-0.613,5e-09,5.00810927577675e-09
-0.612,5e-09,5.01297390856296e-09
-0.611,5e-09,5.01783854134916e-09
-0.61,5e-09,5.02270317413536e-09
-0.609,5e-09,5.02756780692157e-09
-0.608,5e-09,5.03243243970777e-09
-0.607,5e-09,5.03729707249397e-09
-0.606,5e-09,5.04216170528018e-09
-0.605,5e-09,5.04702633806638e-09
-0.604,5e-09,5.05189097085258e-09
-0.603,5e-09,5.05675560363879e-09
-0.602,5e-09,5.06162023642499e-09
-0.601,5e-09,5.0664848692112e-09
-0.6,5e-09,5.0713495019974e-09
-0.599,5e-09,5.0762141347836e-09
-0.598,5e-09,5.08107876756981e-09
-0.597,5e-09,5.08594340035601e-09
-0.596,5e-09,5.09080803314221e-09
-0.595,5e-09,5.09567266592842e-09
-0.594,5e-09,5.10053729871462e-09
-0.593,5e-09,5.10540193150082e-09
-0.592,5e-09,5.11026656428703e-09
-0.591,5e-09,5.11513119707323e-09
-0.59,5e-09,5.11999582985943e-09
-0.589,5e-09,5.12486046264564e-09
-0.588,5e-09,5.12972509543184e-09
-0.587,5e-09,5.13458972821804e-09
-0.586,5e-09,5.13945436100425e-09
-0.585,5e-09,5.14431899379045e-09
-0.584,5e-09,5.12833560589337e-09
-0.583,5e-09,5.11018054917511e-09
