z,rho_model,rho_m1,rho_ref
-1.14,0.118865218906776,0.118865218906776,0.0824632648738154
-1.02,0.26687100553066,0.26687100553066,0.224361353405607
-0.9,0.418310187820782,0.418310187820782,0.435640610876647
-0.78,0.601771979630629,0.601771979630629,0.654462326302653
-0.66,0.779936088002471,0.779936088002471,0.839650600835403
-0.54,0.957228506126209,0.957228506126209,0.994025634075945
-0.42,1.08786534907824,1.08786534907824,1.12550938325593
-0.3,1.18504571585502,1.18504571585502,1.23295763321075
-0.18,1.33870896436894,1.33870896436894,1.31361820142336
-0.06,1.4689462056967,1.4689462056967,1.40554260855954
0.06,1.4689463334347,1.4689463334347,1.40554260855954
0.18,1.33870598204882,1.33870598204882,1.31361820142335
0.3,1.18505836662334,1.18505836662334,1.23295763321074
0.42,1.08786719447284,1.08786719447284,1.12550938325593
0.54,0.957234190550134,0.957234190550134,0.994025634075944
0.66,0.779937687283846,0.779937687283846,0.839650600835402
0.78,0.601771091379221,0.601771091379221,0.654462326302653
0.9,0.418305217490599,0.418305217490599,0.435640610876648
1.02,0.266862486855429,0.266862486855429,0.224361353405608
1.14,0.118857693347346,0.118857693347346,0.0824632648738158
