model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps
PN,3,4,1.73350982956965,3.48118822577316,1.43759877275941e-12,1e-08,7.1147793,1
MN,1,2,1.73350982956965,3.48356318547031,0.00138534831309049,1e-08,8.2249063,1
HOLOM1PN,3,4,1.73350982956965,3.48118822577197,1.8149119489311e-12,1e-08,12.3940515,1
