mu,psi_ref,psi_hat
-1,5e-09,4.92241374575183e-09
-0.999,5e-09,4.92625426533711e-09
-0.998,5e-09,4.9300947849224e-09
-0.997,5e-09,4.93393530450769e-09
-0.996,5e-09,4.93777582409298e-09
-0.995,5e-09,4.94161634367827e-09
-0.994,5e-09,4.94545686326355e-09
-0.993,5e-09,4.94929738284884e-09
-0.992,5e-09,4.95313790243413e-09
-0.991,5e-09,4.95697842201942e-09
-0.99,5e-09,4.9608189416047e-09
-0.989,5e-09,4.96465946118999e-09
-0.988,5e-09,4.96849998077528e-09
-0.987,5e-09,4.97234050036057e-09
-0.986,5e-09,4.97618101994586e-09
-0.985,5e-09,4.98002153953115e-09
-0.984,5e-09,4.98386205911643e-09
-0.983,5e-09,4.98770257870172e-09
-0.982,5e-09,4.99154309828701e-09
-0.981,5e-09,4.9953836178723e-09
-0.98,5e-09,4.99922413745758e-09
-0.979,5e-09,5.00306465704287e-09
-0.978,5e-09,5.00690517662816e-09
-0.977,5e-09,5.01074569621345e-09
-0.976,5e-09,5.01458621579874e-09
-0.975,5e-09,5.01842673538402e-09
-0.974,5e-09,5.02226725496931e-09
-0.973,5e-09,5.0261077745546e-09
-0.972,5e-09,5.02994829413989e-09
-0.971,5e-09,5.03378881372518e-09
-0.97,5e-09,5.03762933331047e-09
-0.969,5e-09,5.04146985289575e-09
-0.968,5e-09,5.04531037248104e-09
-0.967,5e-09,5.04915089206633e-09
-0.966,5e-09,5.05299141165162e-09
-0.965,5e-09,5.0568319312369e-09
-0.964,5e-09,5.06067245082219e-09
-0.963,5e-09,5.06451297040748e-09
-0.962,5e-09,5.06835348999277e-09
-0.961,5e-09,5.07219400957806e-09
-0.96,5e-09,5.07603452916334e-09
-0.959,5e-09,5.07987504874863e-09
-0.958,5e-09,5.08371556833392e-09
-0.957,5e-09,5.08755608791921e-09
-0.956,5e-09,5.0913966075045e-09
-0.955,5e-09,5.09523712708978e-09
-0.954,5e-09,5.09907764667507e-09
-0.953,5e-09,5.10291816626036e-09
-0.952,5e-09,5.10675868584565e-09
-0.951,5e-09,5.11059920543094e-09
-0.95,5e-09,5.11443972501622e-09
-0.949,5e-09,5.11828024460151e-09
-0.948,5e-09,5.1221207641868e-09
-0.947,5e-09,5.12596128377209e-09
-0.946,5e-09,5.12980180335738e-09
-0.945,5e-09,5.13364232294266e-09
-0.944,5e-09,5.13748284252795e-09
-0.943,5e-09,5.14132336211324e-09
-0.942,5e-09,5.14516388169853e-09
-0.941,5e-09,5.14900440128382e-09
-0.94,5e-09,5.1528449208691e-09
-0.939,5e-09,5.15063371262303e-09
-0.938,5e-09,5.13911215386717e-09
-0.937,5e-09,5.1275905951113e-09
-0.936,5e-09,5.11606903635544e-09
-0.935,5e-09,5.10454747759958e-09
-0.934,5e-09,5.09302591884371e-09
-0.933,5e-09,5.08150436008785e-09
-0.932,5e-09,5.06998280133199e-09
-0.931,5e-09,5.05846124257612e-09
-0.93,5e-09,5.04693968382026e-09
-0.929,5e-09,5.03541812506439e-09
-0.928,5e-09,5.02389656630853e-09
-0.927,5e-09,5.01237500755267e-09
-0.926,5e-09,5.00085344879681e-09
-0.925,5e-09,4.98933189004094e-09
-0.924,5e-09,4.97781033128508e-09
-0.923,5e-09,4.96628877252922e-09
-0.922,5e-09,4.95476721377335e-09
-0.921,5e-09,4.94324565501749e-09
-0.92,5e-09,4.93172409626163e-09
-0.919,5e-09,4.92020253750576e-09
-0.918,5e-09,4.9086809787499e-09
-0.917,5e-09,4.89715941999404e-09
-0.916,5e-09,4.88563786123817e-09
-0.915,5e-09,4.87411630248231e-09
-0.914,5e-09,4.86259474372644e-09
-0.913,5e-09,4.85107318497058e-09
-0.912,5e-09,4.83955162621472e-09
-0.911,5e-09,4.82803006745886e-09
-0.91,5e-09,4.81650850870299e-09
-0.909,5e-09,4.80498694994713e-09
-0.908,5e-09,4.79346539119126e-09
-0.907,5e-09,4.7819438324354e-09
-0.906,5e-09,4.77042227367954e-09
-0.905,5e-09,4.75890071492367e-09
-0.904,5e-09,4.74737915616781e-09
-0.903,5e-09,4.73585759741195e-09
-0.902,5e-09,4.72433603865608e-09
-0.901,5e-09,4.71281447990022e-09
-0.9,5e-09,4.70129292114436e-09
-0.899,5e-09,4.68977136238849e-09
-0.898,5e-09,4.67824980363263e-09
-0.897,5e-09,4.66672824487677e-09
-0.896,5e-09,4.6552066861209e-09
-0.895,5e-09,4.64368512736504e-09
-0.894,5e-09,4.63216356860918e-09
-0.893,5e-09,4.62064200985331e-09
-0.892,5e-09,4.60912045109745e-09
-0.891,5e-09,4.59759889234159e-09
-0.89,5e-09,4.58607733358572e-09
-0.889,5e-09,4.57455577482986e-09
-0.888,5e-09,4.563034216074e-09
-0.887,5e-09,4.55151265731813e-09
-0.886,5e-09,4.53999109856227e-09
-0.885,5e-09,4.52846953980641e-09
-0.884,5e-09,4.51694798105054e-09
-0.883,5e-09,4.50542642229468e-09
-0.882,5e-09,4.49390486353882e-09
-0.881,5e-09,4.48238330478295e-09
