mu,psi_ref,psi_hat
-1,5e-09,5.00000000355186e-09
-0.999,5e-09,5.00000000355186e-09
-0.998,5e-09,5.00000000355188e-09
-0.997,5e-09,5.00000000355188e-09
-0.996,5e-09,5.0000000035519e-09
-0.995,5e-09,5.00000000355188e-09
-0.994,5e-09,5.0000000035519e-09
-0.993,5e-09,5.0000000035519e-09
-0.992,5e-09,5.00000000355191e-09
-0.991,5e-09,5.00000000355191e-09
-0.99,5e-09,5.00000000355191e-09
-0.989,5e-09,5.00000000355193e-09
-0.988,5e-09,5.00000000355193e-09
-0.987,5e-09,5.00000000355193e-09
-0.986,5e-09,5.00000000355195e-09
-0.985,5e-09,5.00000000355195e-09
-0.984,5e-09,5.00000000355197e-09
-0.983,5e-09,5.00000000355195e-09
-0.982,5e-09,5.00000000355197e-09
-0.981,5e-09,5.00000000355198e-09
-0.98,5e-09,5.00000000355198e-09
-0.979,5e-09,5.00000000355198e-09
-0.978,5e-09,5.00000000355198e-09
-0.977,5e-09,5.00000000355198e-09
-0.976,5e-09,5.000000003552e-09
-0.975,5e-09,5.00000000355202e-09
-0.974,5e-09,5.00000000355202e-09
-0.973,5e-09,5.00000000355202e-09
-0.972,5e-09,5.00000000355202e-09
-0.971,5e-09,5.00000000355202e-09
-0.97,5e-09,5.00000000355202e-09
-0.969,5e-09,5.00000000355204e-09
-0.968,5e-09,5.00000000355206e-09
-0.967,5e-09,5.00000000355204e-09
-0.966,5e-09,5.00000000355206e-09
-0.965,5e-09,5.00000000355206e-09
-0.964,5e-09,5.00000000355207e-09
-0.963,5e-09,5.00000000355206e-09
-0.962,5e-09,5.00000000355204e-09
-0.961,5e-09,5.00000000355202e-09
-0.96,5e-09,5.00000000355202e-09
-0.959,5e-09,5.00000000355198e-09
-0.958,5e-09,5.00000000355198e-09
-0.957,5e-09,5.00000000355195e-09
-0.956,5e-09,5.00000000355195e-09
-0.955,5e-09,5.00000000355191e-09
-0.954,5e-09,5.00000000355191e-09
-0.953,5e-09,5.00000000355188e-09
-0.952,5e-09,5.00000000355188e-09
-0.951,5e-09,5.00000000355186e-09
-0.95,5e-09,5.00000000355184e-09
-0.949,5e-09,5.00000000355183e-09
-0.948,5e-09,5.00000000355181e-09
-0.947,5e-09,5.00000000355179e-09
-0.946,5e-09,5.00000000355177e-09
-0.945,5e-09,5.00000000355177e-09
-0.944,5e-09,5.00000000355174e-09
-0.943,5e-09,5.00000000355174e-09
-0.942,5e-09,5.0000000035517e-09
-0.941,5e-09,5.0000000035517e-09
-0.94,5e-09,5.00000000355167e-09
-0.939,5e-09,5.00000000355165e-09
-0.938,5e-09,5.00000000355165e-09
-0.937,5e-09,5.00000000355161e-09
-0.936,5e-09,5.00000000355159e-09
-0.935,5e-09,5.00000000355158e-09
-0.934,5e-09,5.00000000355156e-09
-0.933,5e-09,5.00000000355156e-09
-0.932,5e-09,5.00000000355154e-09
-0.931,5e-09,5.00000000355152e-09
-0.93,5e-09,5.00000000355149e-09
-0.929,5e-09,5.00000000355149e-09
-0.928,5e-09,5.00000000355145e-09
-0.927,5e-09,5.00000000355147e-09
-0.926,5e-09,5.00000000355154e-09
-0.925,5e-09,5.00000000355159e-09
-0.924,5e-09,5.00000000355165e-09
-0.923,5e-09,5.00000000355172e-09
-0.922,5e-09,5.00000000355179e-09
-0.921,5e-09,5.00000000355184e-09
-0.92,5e-09,5.0000000035519e-09
-0.919,5e-09,5.00000000355197e-09
-0.918,5e-09,5.00000000355204e-09
-0.917,5e-09,5.00000000355209e-09
-0.916,5e-09,5.00000000355216e-09
-0.915,5e-09,5.00000000355223e-09
-0.914,5e-09,5.00000000355229e-09
-0.913,5e-09,5.00000000355234e-09
-0.912,5e-09,5.00000000355241e-09
-0.911,5e-09,5.00000000355248e-09
-0.91,5e-09,5.00000000355254e-09
-0.909,5e-09,5.00000000355259e-09
-0.908,5e-09,5.00000000355266e-09
-0.907,5e-09,5.00000000355273e-09
-0.906,5e-09,5.00000000355278e-09
-0.905,5e-09,5.00000000355284e-09
-0.904,5e-09,5.00000000355291e-09
-0.903,5e-09,5.00000000355298e-09
-0.902,5e-09,5.00000000355303e-09
-0.901,5e-09,5.0000000035531e-09
-0.9,5e-09,5.00000000355316e-09
-0.899,5e-09,5.00000000355323e-09
-0.898,5e-09,5.00000000355328e-09
-0.897,5e-09,5.00000000355333e-09
-0.896,5e-09,5.00000000355341e-09
-0.895,5e-09,5.00000000355348e-09
-0.894,5e-09,5.00000000355353e-09
-0.893,5e-09,5.0000000035536e-09
-0.892,5e-09,5.00000000355365e-09
-0.891,5e-09,5.00000000355371e-09
-0.89,5e-09,5.00000000355351e-09
-0.889,5e-09,5.00000000355328e-09
-0.888,5e-09,5.00000000355305e-09
-0.887,5e-09,5.00000000355282e-09
-0.886,5e-09,5.00000000355259e-09
-0.885,5e-09,5.00000000355234e-09
-0.884,5e-09,5.00000000355211e-09
-0.883,5e-09,5.00000000355188e-09
-0.882,5e-09,5.00000000355165e-09
-0.881,5e-09,5.00000000355142e-09
-0.88,5e-09,5.0000000035512e-09
-0.879,5e-09,5.00000000355095e-09
-0.878,5e-09,5.00000000355071e-09
-0.877,5e-09,5.00000000355049e-09
-0.876,5e-09,5.00000000355024e-09
-0.875,5e-09,5.00000000355003e-09
-0.874,5e-09,5.00000000354978e-09
-0.873,5e-09,5.00000000354957e-09
-0.872,5e-09,5.00000000354932e-09
-0.871,5e-09,5.00000000354909e-09
-0.87,5e-09,5.00000000354886e-09
-0.869,5e-09,5.00000000354863e-09
-0.868,5e-09,5.00000000354838e-09
-0.867,5e-09,5.00000000354815e-09
-0.866,5e-09,5.00000000354793e-09
-0.865,5e-09,5.00000000354769e-09
-0.864,5e-09,5.00000000354747e-09
-0.863,5e-09,5.00000000354722e-09
-0.862,5e-09,5.00000000354699e-09
-0.861,5e-09,5.00000000354676e-09
-0.86,5e-09,5.00000000354651e-09
-0.859,5e-09,5.0000000035463e-09
-0.858,5e-09,5.00000000354605e-09
-0.857,5e-09,5.00000000354582e-09
-0.856,5e-09,5.00000000354559e-09
-0.855,5e-09,5.00000000354536e-09
-0.854,5e-09,5.00000000354571e-09
-0.853,5e-09,5.0000000035466e-09
-0.852,5e-09,5.00000000354746e-09
-0.851,5e-09,5.00000000354834e-09
-0.85,5e-09,5.00000000354921e-09
-0.849,5e-09,5.00000000355008e-09
-0.848,5e-09,5.00000000355094e-09
-0.847,5e-09,5.00000000355181e-09
-0.846,5e-09,5.0000000035527e-09
-0.845,5e-09,5.00000000355355e-09
-0.844,5e-09,5.00000000355442e-09
-0.843,5e-09,5.00000000355529e-09
-0.842,5e-09,5.00000000355616e-09
-0.841,5e-09,5.00000000355703e-09
-0.84,5e-09,5.00000000355788e-09
-0.839,5e-09,5.00000000355877e-09
-0.838,5e-09,5.00000000355964e-09
-0.837,5e-09,5.00000000356051e-09
-0.836,5e-09,5.00000000356136e-09
-0.835,5e-09,5.00000000356225e-09
-0.834,5e-09,5.00000000356312e-09
-0.833,5e-09,5.00000000356399e-09
-0.832,5e-09,5.00000000356485e-09
-0.831,5e-09,5.00000000356572e-09
-0.83,5e-09,5.0000000035666e-09
-0.829,5e-09,5.00000000356747e-09
-0.828,5e-09,5.00000000356833e-09
-0.827,5e-09,5.00000000356922e-09
-0.826,5e-09,5.00000000357007e-09
-0.825,5e-09,5.00000000357094e-09
-0.824,5e-09,5.00000000357181e-09
-0.823,5e-09,5.0000000035727e-09
-0.822,5e-09,5.00000000357355e-09
-0.821,5e-09,5.00000000357442e-09
-0.82,5e-09,5.00000000357529e-09
-0.819,5e-09,5.00000000357616e-09
-0.818,5e-09,5.00000000357629e-09
-0.817,5e-09,5.00000000357303e-09
-0.816,5e-09,5.00000000356978e-09
-0.815,5e-09,5.00000000356653e-09
-0.814,5e-09,5.0000000035633e-09
-0.813,5e-09,5.00000000356005e-09
-0.812,5e-09,5.0000000035568e-09
-0.811,5e-09,5.00000000355357e-09
-0.81,5e-09,5.00000000355032e-09
-0.809,5e-09,5.00000000354708e-09
-0.808,5e-09,5.00000000354383e-09
-0.807,5e-09,5.0000000035406e-09
-0.806,5e-09,5.00000000353735e-09
-0.805,5e-09,5.0000000035341e-09
-0.804,5e-09,5.00000000353085e-09
-0.803,5e-09,5.00000000352761e-09
-0.802,5e-09,5.00000000352438e-09
-0.801,5e-09,5.00000000352111e-09
-0.8,5e-09,5.00000000351788e-09
-0.799,5e-09,5.00000000351465e-09
-0.798,5e-09,5.0000000035114e-09
-0.797,5e-09,5.00000000350814e-09
-0.796,5e-09,5.00000000350491e-09
-0.795,5e-09,5.00000000350164e-09
-0.794,5e-09,5.00000000349841e-09
-0.793,5e-09,5.00000000349518e-09
-0.792,5e-09,5.00000000349193e-09
-0.791,5e-09,5.00000000348869e-09
-0.79,5e-09,5.00000000348544e-09
-0.789,5e-09,5.00000000348219e-09
-0.788,5e-09,5.00000000347894e-09
-0.787,5e-09,5.00000000347569e-09
-0.786,5e-09,5.00000000347246e-09
-0.785,5e-09,5.00000000346921e-09
-0.784,5e-09,5.00000000346596e-09
-0.783,5e-09,5.00000000346272e-09
-0.782,5e-09,5.00000000345947e-09
-0.781,5e-09,5.00000000346878e-09
-0.78,5e-09,5.00000000348091e-09
-0.779,5e-09,5.00000000349301e-09
-0.778,5e-09,5.00000000350513e-09
-0.777,5e-09,5.00000000351724e-09
-0.776,5e-09,5.00000000352934e-09
-0.775,5e-09,5.00000000354145e-09
-0.774,5e-09,5.00000000355355e-09
-0.773,5e-09,5.00000000356566e-09
-0.772,5e-09,5.00000000357778e-09
-0.771,5e-09,5.00000000358989e-09
