model,order,nMom,L1_paper,Linf_paper,sym_paper,minrho_paper,runtime_paper,steps_paper,L1_mcl,Linf_mcl,sym_mcl,minrho_mcl,runtime_mcl,steps_mcl,dL1_abs,dL1_rel,dLinf_abs,dRuntime_abs
HFMn,4,4,0.305908796914665,0.866011507567185,0.0218479633519011,1.00000011553787e-08,8.3594794,10,0.330839241074325,0.971330143018885,0.012683746798548,1.00000010411575e-08,9.9323293,10,0.0249304441596594,0.0814963296613334,0.1053186354517,1.5728499
HFMn,8,8,0.355393089109124,1.00219943472849,0.00360505206937229,1.00000058464373e-08,17.3307416,10,0.356057848282509,1.03648003707906,0.00971458201223372,1.00000055790343e-08,18.3801908,10,0.000664759173384599,0.00187048987095099,0.0342806023505666,1.0494492
PMMn,4,4,0.994264400053023,3.44957199225479,0.0423577731495414,1.00000024582928e-08,73.8428395,10,0.649355424411212,1.77735157508702,0.0301555004460362,1.00007330368783e-08,156.2484565,10,-0.344908975641811,-0.346898647506053,-1.67222041716777,82.405617
