case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
Heaviside,PMPn,24,24,0.0105603238407203,1.01904761904765,0.000387,0,1
CrossingBeams,PMPn,24,24,1.4632486224753,7.86662807635977,0.0004049,0,1
Gauss,PMPn,26,26,0.00885798916973204,0.013734451829477,0.000379,0,1
Heaviside,PMPn,26,26,0.0408655208245537,0.549165010997521,0.0004086,0,1
CrossingBeams,PMPn,26,26,1.017288895928,10.854744143861,0.0003985,0,1
Gauss,PMPn,28,28,0.00928293669287851,0.824283114202735,0.0003645,0,1
Heaviside,PMPn,28,28,0.00977166669325987,0.0476190524762039,0.0004116,0,1
CrossingBeams,PMPn,28,28,1.21665976534761,10.8505334315055,0.0004165,0,1
Gauss,PMPn,30,30,0.0107531573817387,0.771804471199985,0.0004789,0,1
Heaviside,PMPn,30,30,0.0383924414425539,1.03809523809527,0.0004339,0,1
CrossingBeams,PMPn,30,30,0.874541928376188,10.5430651287762,0.0004272,0,1
Gauss,PMPn,32,32,0.0167855551017362,0.821706849704016,0.0003989,0,1
Heaviside,PMPn,32,32,0.0184144381580993,1.02857142857146,0.0004679,0,1
CrossingBeams,PMPn,32,32,1.05491551071347,7.9873892879638,0.0004669,0,1
Gauss,PMPn,34,34,0.00792034972937143,0.0119947614552041,0.0003964,0,1
Heaviside,PMPn,34,34,0.0331299256425314,0.541612449475267,0.0004652,0,1
CrossingBeams,PMPn,34,34,0.751329419770645,9.99913137425604,0.0004688,0,1
Gauss,PMPn,36,36,0.00894186220228256,0.819923395743236,0.000481,0,1
Heaviside,PMPn,36,36,0.0102562762253389,0.0476190524762039,0.00043,0,1
CrossingBeams,PMPn,36,36,0.894647019871899,8.95023557993492,0.0004837,0,1
Gauss,PMPn,38,38,0.00889551629202179,0.0106056849905538,0.0004684,0,1
Heaviside,PMPn,38,38,0.0310297634990672,0.544614740180247,0.0005017,0,1
CrossingBeams,PMPn,38,38,0.650007970419211,9.36072342448731,0.0005325,0,1
Gauss,PMPn,40,40,0.015512675673799,0.833535941256857,0.0005275,0,1
Heaviside,PMPn,40,40,0.0163798095845555,1.03809523809522,0.0005515,0,1
CrossingBeams,PMPn,40,40,0.730244475659541,12.1338416276843,0.0006291,0,1
Gauss,PMPn,42,42,0.00897488085126152,0.0128253487475449,0.0005455,0,1
Heaviside,PMPn,42,42,0.0289775816949914,0.543097983241156,0.0006109,0,1
CrossingBeams,PMPn,42,42,0.56196897927494,8.65801971142298,0.0004936,0,1
Gauss,PMPn,44,44,0.00938660182637022,0.817684175397485,0.0004542,0,1
Heaviside,PMPn,44,44,0.0101137238477016,0.0476190524762046,0.0005382,0,1
CrossingBeams,PMPn,44,44,0.663945250224749,8.20377822262405,0.0007582,0,1
Gauss,PMPn,46,46,0.0085333323113124,0.0137556942567894,0.0005475,0,1
Heaviside,PMPn,46,46,0.0263733494344527,0.541581226302065,0.0005476,0,1
CrossingBeams,PMPn,46,46,0.483822741862719,8.18904881660939,0.0005784,0,1
Gauss,PMPn,48,48,0.0108080714263857,0.831943417538539,0.000448,0,1
Heaviside,PMPn,48,48,0.0115228571920308,1.02857142857146,0.0004314,0,1
CrossingBeams,PMPn,48,48,0.481766971184779,15.4288158726507,0.0004656,0,1
Gauss,PMPn,50,50,0.0198062779418033,0.806447565374223,0.0004472,0,1
Heaviside,PMPn,50,50,0.0369319497646051,1.3078785961711,0.0004405,0,1
CrossingBeams,PMPn,50,50,0.437203860937406,15.6070826290484,0.0004578,0,1
Gauss,PMPn,52,52,0.00916647678536649,0.816386360867478,0.0005041,0,1
Heaviside,PMPn,52,52,0.00990847623032206,0.0476190524762037,0.0004488,0,1
CrossingBeams,PMPn,52,52,0.506725187811983,7.75600810102894,0.0004442,0,1
Gauss,PMPn,54,54,0.00894414287754487,0.00904521944525805,0.0004348,0,1
Heaviside,PMPn,54,54,0.0249338590348834,0.538547712423882,0.0004654,0,1
CrossingBeams,PMPn,54,54,0.376405457444492,7.13151648134438,0.0005134,0,1
Gauss,PMPn,56,56,0.0100799830992956,0.815933980870525,0.0005345,0,1
Heaviside,PMPn,56,56,0.0104452000434074,1.02857142857147,0.0005521,0,1
CrossingBeams,PMPn,56,56,0.307829607996565,17.9052760331062,0.0006106,0,1
Gauss,PMPn,58,58,0.00840000595226158,0.0152625592146995,0.0005296,0,1
Heaviside,PMPn,58,58,0.0225557581726587,0.537030955484791,0.0005643,0,1
CrossingBeams,PMPn,58,58,0.328290787857139,7.11518551371394,0.001238,0,1
Gauss,PMPn,60,60,0.0132439323555664,0.830631690356756,0.0006869,0,1
Heaviside,PMPn,60,60,0.0141229048267859,1.0285714285714,0.0007064,0,1
CrossingBeams,PMPn,60,60,0.399090333047587,7.01085729941466,0.0006573,0,1
Gauss,PMMn,2,2,0.410971678830538,0.369267931680383,0.0031813,4,0
Heaviside,PMMn,2,2,0.552625614184248,0.791626400676212,0.0015144,7,1
CrossingBeams,PMMn,2,2,1.31199353313803,17.8412411615277,0.0010631,13,1
Gauss,PMMn,4,4,0.106238308369811,0.225761200620262,0.0050756,6,1
Heaviside,PMMn,4,4,0.0105101414536416,0.506567790793471,0.0322525,25,1
CrossingBeams,PMMn,4,4,2.63396157176233,15.8956706453497,0.0168158,13,1
Gauss,PMMn,6,6,0.0511814333659099,0.106888241197324,0.0161521,7,1
Heaviside,PMMn,6,6,0.187436376541758,0.77314485335315,0.0510376,22,1
CrossingBeams,PMMn,6,6,1.55929542653172,15.8308103326712,0.0775667,23,1
Gauss,PMMn,8,8,0.0299034861092264,0.197364313628697,0.0167904,7,1
Heaviside,PMMn,8,8,0.00992354122032368,0.250418532394834,0.0528325,25,1
CrossingBeams,PMMn,8,8,0.780794361642019,115.212770640135,0.0841122,23,1
Gauss,PMMn,10,10,0.0196526715873956,0.132922544991875,0.0068173,7,1
Heaviside,PMMn,10,10,0.116009243508576,0.765443591784222,0.064144,22,1
CrossingBeams,PMMn,10,10,1.38351275666329,14.023932994808,0.0635022,23,1
Gauss,PMMn,12,12,0.0135632677490552,0.105511995289506,0.0156578,7,1
Heaviside,PMMn,12,12,0.00652153025156064,0.122975443013957,0.0686645,25,1
CrossingBeams,PMMn,12,12,1.49536705514072,14.8362868176831,0.0761533,24,1
Gauss,PMMn,14,14,0.0114900154774754,0.0273862042110566,0.008156,7,1
Heaviside,PMMn,14,14,0.0866423082176814,0.7650756740751,0.0796224,22,1
CrossingBeams,PMMn,14,14,1.15500031152019,12.7058986770482,0.0042523,24,1
Gauss,PMMn,16,16,0.013343730041979,0.231566813694647,0.018434,7,1
Heaviside,PMMn,16,16,0.00970681792424552,0.0613222543753594,0.0828911,25,1
CrossingBeams,PMMn,16,16,0.751311647731097,166.502447748794,0.0847171,24,1
Gauss,PMMn,18,18,0.0103872850785121,0.0194070813686165,0.045346,7,1
Heaviside,PMMn,18,18,0.0700614391182441,0.778618138419068,0.0524293,21,1
CrossingBeams,PMMn,18,18,0.979903886486498,15.9130072587097,0.0775296,24,1
Gauss,PMMn,20,20,0.0102134362856752,0.230671870249632,0.0562166,7,1
Heaviside,PMMn,20,20,0.0077342769180599,0.030174341235147,0.0332725,25,1
CrossingBeams,PMMn,20,20,1.18830131860284,12.7932048241507,0.0184939,24,1
Gauss,PMMn,22,22,0.00762107420997785,0.0159844172624225,0.0024202,7,1
Heaviside,PMMn,22,22,0.0554504312105751,0.772941642284956,0.0115798,21,1
CrossingBeams,PMMn,22,22,0.841797241438051,17.1654693507987,0.0119992,24,1
Gauss,PMMn,24,24,0.00731478869932574,0.240101405411012,0.004947,7,1
Heaviside,PMMn,24,24,0.00561128831316463,0.0174894366030902,0.012464,25,1
CrossingBeams,PMMn,24,24,0.743842874090444,291.018796130403,0.0154388,24,1
Gauss,PMMn,26,26,0.0111709222512477,0.0139015180675626,0.0038775,7,1
Heaviside,PMMn,26,26,0.0508871949147081,0.749135606520994,0.011173,21,1
CrossingBeams,PMMn,26,26,0.742924693799358,16.98399760545,0.0122933,24,1
Gauss,PMMn,28,28,0.00946958622576735,0.142955314764707,0.0026113,7,1
Heaviside,PMMn,28,28,0.00686281994328977,0.0211344151194968,0.0129149,25,1
CrossingBeams,PMMn,28,28,0.923874579598867,10.8176394726547,0.0084596,24,1
Gauss,PMMn,30,30,0.0103465806401224,0.229823300027673,0.003745,7,1
Heaviside,PMMn,30,30,0.0435889096354706,0.751309695167028,0.0048243,21,1
CrossingBeams,PMMn,30,30,0.666806900704489,16.1246497412714,0.0144359,26,1
Gauss,PMMn,32,32,0.0151884329831763,0.239773407268417,0.0247244,7,1
Heaviside,PMMn,32,32,0.00969719326434262,0.0292597065518452,0.0135996,24,1
CrossingBeams,PMMn,32,32,0.732196361332307,232.872802690492,0.0143347,25,1
Gauss,PMMn,34,34,0.00980792570561813,0.0117043760192628,0.0027398,7,1
Heaviside,PMMn,34,34,0.039602506473577,0.765205782262963,0.0115891,21,1
CrossingBeams,PMMn,34,34,0.605658487949158,14.6375124562317,0.0131438,24,1
Gauss,PMMn,36,36,0.00884314029676618,0.147133217134346,0.0028977,7,1
Heaviside,PMMn,36,36,0.00693627913920326,0.0212083919501314,0.0069456,24,1
CrossingBeams,PMMn,36,36,0.708814490100651,9.9643659963227,0.00849,24,1
Gauss,PMMn,38,38,0.0117314649558492,0.0117425706813926,0.0031004,7,1
Heaviside,PMMn,38,38,0.038006891001062,0.749174265903609,0.0052664,21,1
CrossingBeams,PMMn,38,38,0.5388822237417,13.6182387880943,0.0129454,25,1
Gauss,PMMn,40,40,0.0120875195699897,0.241446328343235,0.0038191,7,1
Heaviside,PMMn,40,40,0.00676864749382857,0.0205158081547518,0.0134601,24,1
CrossingBeams,PMMn,40,40,0.717368632596162,250.547004995596,0.006995,24,1
Gauss,PMMn,42,42,0.0117883546446589,0.011222345658371,0.0042706,7,1
Heaviside,PMMn,42,42,0.0353122340839859,0.746518533086084,0.0065649,21,1
CrossingBeams,PMMn,42,42,0.50882975278778,11.0653134223598,0.0073774,24,1
Gauss,PMMn,44,44,0.0104001906823363,0.145533491453731,0.0040642,7,1
Heaviside,PMMn,44,44,0.00742474892613281,0.0225608755287734,0.0096003,24,1
CrossingBeams,PMMn,44,44,0.552177183550599,9.63018720857723,0.0081766,24,1
Gauss,PMMn,46,46,0.0106241675652595,0.0110146945500241,0.0033846,7,1
Heaviside,PMMn,46,46,0.0320679711777017,0.749613829286599,0.0170833,21,1
CrossingBeams,PMMn,46,46,0.471446398349674,10.4046477664989,0.0135635,24,1
Gauss,PMMn,48,48,0.0092669106910819,0.242427373248403,0.0027769,7,1
Heaviside,PMMn,48,48,0.0060158463225642,0.0182822797991449,0.012396,24,1
CrossingBeams,PMMn,48,48,0.692114677893063,259.172219946912,0.0061723,24,1
Gauss,PMMn,50,50,0.0137551993429721,0.249011593712383,0.0025246,7,1
Heaviside,PMMn,50,50,0.0291927374270485,0.787954948550435,0.0082298,21,1
CrossingBeams,PMMn,50,50,0.562519013886317,132.320560205203,0.0106766,24,1
Gauss,PMMn,52,52,0.0097543726857675,0.149019725054404,0.0036715,7,1
Heaviside,PMMn,52,52,0.00739167248829205,0.0223924966655571,0.0075172,24,1
CrossingBeams,PMMn,52,52,0.436153371372902,8.99480359796208,0.0083426,24,1
Gauss,PMMn,54,54,0.0120214141660822,0.0107550720070808,0.0027837,7,1
Heaviside,PMMn,54,54,0.0301015078145865,0.778770021355873,0.0148562,21,1
CrossingBeams,PMMn,54,54,0.379906168521214,9.23246469953011,0.0113139,24,1
Gauss,PMMn,56,56,0.010360735894806,0.240237861027774,0.0025309,7,1
Heaviside,PMMn,56,56,0.00755936605535508,0.0228393148846575,0.0079792,24,1
CrossingBeams,PMMn,56,56,0.656678138790095,260.889294973132,0.0088056,24,1
Gauss,PMMn,58,58,0.0100922657264085,0.0107440236963526,0.0029964,7,1
Heaviside,PMMn,58,58,0.026513102620531,0.740314567639617,0.0102673,21,1
CrossingBeams,PMMn,58,58,0.377548490637694,9.19520893386421,0.0089139,24,1
Gauss,PMMn,60,60,0.012249860658196,0.233314829715878,0.0046454,7,1
Heaviside,PMMn,60,60,0.00837033594406654,0.0251415172751128,0.012722,24,1
CrossingBeams,PMMn,60,60,0.365141490749723,8.37592858696353,0.010431,24,1
