case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
Heaviside,PN,45,46,0.0472758489876412,0.499999997499999,0.0003432,0,1
CrossingBeams,PN,45,46,0.876750486786886,4.14158001307597,0.000366,0,1
Gauss,PN,47,48,4.70465333357595e-15,8.88178419700125e-15,0.0003982,0,1
Heaviside,PN,47,48,0.0456827059451881,0.499999997499999,0.0003598,0,1
CrossingBeams,PN,47,48,0.821840284004986,3.93764890153247,0.000425,0,1
Gauss,PN,49,50,4.4316078584572e-15,1.37251321419285e-14,0.0004711,0,1
Heaviside,PN,49,50,0.0441901670183354,0.499999997499999,0.0003705,0,1
CrossingBeams,PN,49,50,0.694547295108187,3.46272696227306,0.0004441,0,1
Gauss,PN,60,61,4.60838311955314e-15,6.92224055853785e-14,0.0004103,0,1
Heaviside,PN,60,61,0.0381065151458813,0.499999997499999,0.0004793,0,1
CrossingBeams,PN,60,61,0.485743775416382,2.02742848167539,0.0004975,0,1
Gauss,MN,1,2,0.410971678743566,0.369267935025445,1.5791242,6,1
Heaviside,MN,1,2,0.542733963495837,0.823880438142153,0.0850583,7,1
CrossingBeams,MN,1,2,2.71118837746417,17.1038814692677,0.1089405,6,1
Gauss,MN,3,4,9.32171007050897e-17,2.22044604925031e-16,0.0565974,7,1
Heaviside,MN,3,4,0.167232220753082,0.592834282078769,0.1338881,11,1
CrossingBeams,MN,3,4,1.43852219780096,29.5344805360143,0.0279196,11,1
Gauss,MN,5,6,3.39759304024412e-13,4.81018003206657e-13,0.0381069,7,1
Heaviside,MN,5,6,0.137159943646163,0.604156261607133,0.0595942,11,1
CrossingBeams,MN,5,6,0.688836972036879,14.3244788401913,0.0351806,13,1
Gauss,MN,7,8,2.53779383618813e-12,6.79972744777047e-12,0.0143842,7,1
Heaviside,MN,7,8,0.123159426772366,0.615721880472365,0.0598581,11,1
CrossingBeams,MN,7,8,0.845287588425377,9.76983414196699,0.1302498,11,1
Gauss,MN,9,10,4.90117979534688e-12,2.06999417606823e-11,0.0367114,7,1
Heaviside,MN,9,10,0.109408920876513,0.619089341653075,0.0217086,11,1
CrossingBeams,MN,9,10,0.29905019193862,4.99617288810923,0.0550143,12,1
Gauss,MN,11,12,5.87643831512219e-12,3.60513285890818e-11,0.0398871,7,1
Heaviside,MN,11,12,0.101612760368937,0.623564067597747,0.0255388,11,1
CrossingBeams,MN,11,12,0.152321322597404,2.24288529720492,0.0452781,12,1
Gauss,MN,13,14,5.77275776486586e-12,4.89737278508429e-11,0.039987,7,1
Heaviside,MN,13,14,0.0933264451490245,0.625086064820118,0.041594,11,1
CrossingBeams,MN,13,14,0.1308259116958,3.65188996201638,0.0624545,12,1
Gauss,MN,15,16,5.2652357751537e-12,5.8473281772109e-11,0.0069893,7,1
Heaviside,MN,15,16,0.0875040607605931,0.626940238009835,0.0572606,11,1
CrossingBeams,MN,15,16,0.0726703327923862,0.938967184906762,0.0521056,12,1
Gauss,MN,17,18,4.82924495531778e-12,6.48829046046018e-11,0.0696669,7,1
Heaviside,MN,17,18,0.0816926483940542,0.627602109701255,0.1489138,11,1
CrossingBeams,MN,17,18,0.069422532739913,0.929291032336019,0.0899025,12,1
Gauss,MN,19,20,4.59066734626035e-12,6.89126394837203e-11,0.0892808,7,1
Heaviside,MN,19,20,0.0770623437773811,0.628307291394008,0.0542297,11,1
CrossingBeams,MN,19,20,0.0419922206628032,0.529268834779158,0.0096751,11,1
Gauss,MN,29,30,4.56752000110861e-12,7.36634087061816e-11,0.0110049,7,1
Heaviside,MN,29,30,0.0593614287223281,0.628417351767733,0.1094454,11,1
CrossingBeams,MN,29,30,0.0512346682426566,0.81073455728399,0.0265793,11,1
Gauss,MN,39,40,4.5664470954554e-12,7.37267469297365e-11,0.0725591,7,1
Heaviside,MN,39,40,0.0482501068725,0.627314281399526,0.0429019,11,1
CrossingBeams,MN,39,40,0.0387889475522163,0.52592406483765,0.1441372,11,1
Gauss,MN,49,50,4.5663422626463e-12,7.37267469297365e-11,0.0250413,7,1
Heaviside,MN,49,50,0.0406445701953808,0.626213373929777,0.0766001,11,1
CrossingBeams,MN,49,50,0.028569394053994,0.265608906796093,0.050769,11,1
Gauss,HFPn,2,2,0.410971678830538,0.369267931680383,0.0004098,0,1
Heaviside,HFPn,2,2,0.423911811248,0.553517933560569,0.0009567,0,1
CrossingBeams,HFPn,2,2,2.16782602812093,17.9476970278332,0.0004528,0,1
Gauss,HFPn,4,4,0.089359182773136,0.0960495531840828,0.0005275,0,1
Heaviside,HFPn,4,4,0.20042158295161,0.534381772075372,0.0022446,0,1
CrossingBeams,HFPn,4,4,2.76518509837979,16.5338881833249,0.0002752,0,1
Gauss,HFPn,6,6,0.0198632797486369,0.0336913461901183,0.0002237,0,1
Heaviside,HFPn,6,6,0.127099186226513,0.531580734932357,0.0002841,0,1
CrossingBeams,HFPn,6,6,2.71307865500254,15.4281638900093,0.0003095,0,1
Gauss,HFPn,8,8,0.00931369850759062,0.0195480476317712,0.0003038,0,1
Heaviside,HFPn,8,8,0.0920744558935146,0.53028436200916,0.0002708,0,1
CrossingBeams,HFPn,8,8,2.58719166778834,14.6650455926573,0.000258,0,1
Gauss,HFPn,10,10,0.00529850782663866,0.0123411429167088,0.0002954,0,1
Heaviside,HFPn,10,10,0.0718778931338487,0.529097290040493,0.000316,0,1
CrossingBeams,HFPn,10,10,2.3323413842897,13.7411948962562,0.0003007,0,1
Gauss,HFPn,12,12,0.00344337694463015,0.0084367605743505,0.0003633,0,1
Heaviside,HFPn,12,12,0.0588633382441326,0.527918005349249,0.0003372,0,1
