mu,psi_ref,psi_hat
-1,5e-09,-1.00513333843855e-08
-0.999,5e-09,-9.48690838247099e-09
-0.998,5e-09,-8.92248338055654e-09
-0.997,5e-09,-8.35805837864208e-09
-0.996,5e-09,-7.79363337672762e-09
-0.995,5e-09,-7.22920837481316e-09
-0.994,5e-09,-6.66478337289871e-09
-0.993,5e-09,-6.10035837098425e-09
-0.992,5e-09,-5.53593336906979e-09
-0.991,5e-09,-4.97150836715533e-09
-0.99,5e-09,-4.40708336524088e-09
-0.989,5e-09,-3.84265836332642e-09
-0.988,5e-09,-3.27823336141196e-09
-0.987,5e-09,-2.7138083594975e-09
-0.986,5e-09,-2.14938335758305e-09
-0.985,5e-09,-1.58495835566859e-09
-0.984,5e-09,-1.02053335375413e-09
-0.983,5e-09,-4.56108351839674e-10
-0.982,5e-09,1.08316650074783e-10
-0.981,5e-09,6.72741651989242e-10
-0.98,5e-09,1.2371666539037e-09
-0.979,5e-09,1.80159165581816e-09
-0.978,5e-09,2.36601665773261e-09
-0.977,5e-09,2.93044165964707e-09
-0.976,5e-09,3.49486666156153e-09
-0.975,5e-09,4.05929166347599e-09
-0.974,5e-09,4.62371666539044e-09
-0.973,5e-09,5.1881416673049e-09
-0.972,5e-09,5.75256666921936e-09
-0.971,5e-09,6.31699167113382e-09
-0.97,5e-09,6.88141667304827e-09
-0.969,5e-09,7.44584167496273e-09
-0.968,5e-09,8.01026667687719e-09
-0.967,5e-09,8.57469167879165e-09
-0.966,5e-09,9.1391166807061e-09
-0.965,5e-09,9.70354168262056e-09
-0.964,5e-09,1.0267966684535e-08
-0.963,5e-09,1.08323916864495e-08
-0.962,5e-09,1.13968166883639e-08
-0.961,5e-09,1.19612416902784e-08
-0.96,5e-09,1.25256666921928e-08
-0.959,5e-09,1.30900916941072e-08
-0.958,5e-09,1.36545166960217e-08
-0.957,5e-09,1.42189416979362e-08
-0.956,5e-09,1.47833666998506e-08
-0.955,5e-09,1.53477917017651e-08
-0.954,5e-09,1.59122167036795e-08
-0.953,5e-09,1.6476641705594e-08
-0.952,5e-09,1.70410667075084e-08
-0.951,5e-09,1.76054917094229e-08
-0.95,5e-09,1.81699167113374e-08
-0.949,5e-09,1.87343417132518e-08
-0.948,5e-09,1.92987667151663e-08
-0.947,5e-09,1.98631917170807e-08
-0.946,5e-09,2.04276167189952e-08
-0.945,5e-09,2.09920417209096e-08
-0.944,5e-09,2.15564667228241e-08
-0.943,5e-09,2.21208917247386e-08
-0.942,5e-09,2.2685316726653e-08
-0.941,5e-09,2.32497417285675e-08
-0.94,5e-09,2.38141667304819e-08
-0.939,5e-09,2.43785917323964e-08
-0.938,5e-09,2.49430167343109e-08
-0.937,5e-09,2.55074417362253e-08
-0.936,5e-09,2.60718667381398e-08
-0.935,5e-09,2.66362917400542e-08
-0.934,5e-09,2.72007167419687e-08
-0.933,5e-09,2.77651417438831e-08
-0.932,5e-09,2.83295667457976e-08
-0.931,5e-09,2.88939917477121e-08
-0.93,5e-09,2.94584167496265e-08
-0.929,5e-09,3.0022841751541e-08
-0.928,5e-09,3.05872667534554e-08
-0.927,5e-09,3.11516917553699e-08
-0.926,5e-09,3.17161167572843e-08
-0.925,5e-09,3.22805417591988e-08
-0.924,5e-09,3.28449667611133e-08
-0.923,5e-09,3.34093917630277e-08
-0.922,5e-09,3.39738167649422e-08
-0.921,5e-09,3.45382417668566e-08
-0.92,5e-09,3.51026667687711e-08
-0.919,5e-09,3.34093917630277e-08
-0.918,5e-09,3.17161167572843e-08
-0.917,5e-09,3.0022841751541e-08
-0.916,5e-09,2.83295667457976e-08
-0.915,5e-09,2.66362917400542e-08
-0.914,5e-09,2.49430167343109e-08
-0.913,5e-09,2.32497417285675e-08
-0.912,5e-09,2.15564667228241e-08
-0.911,5e-09,1.98631917170808e-08
-0.91,5e-09,1.81699167113374e-08
-0.909,5e-09,1.6476641705594e-08
-0.908,5e-09,1.47833666998507e-08
-0.907,5e-09,1.30900916941073e-08
-0.906,5e-09,1.13968166883639e-08
-0.905,5e-09,9.70354168262055e-09
-0.904,5e-09,8.01026667687719e-09
-0.903,5e-09,6.31699167113382e-09
-0.902,5e-09,4.62371666539045e-09
-0.901,5e-09,2.93044165964708e-09
-0.9,5e-09,1.23716665390371e-09
-0.899,5e-09,-4.56108351839658e-10
-0.898,5e-09,-2.14938335758303e-09
-0.897,5e-09,-3.84265836332639e-09
-0.896,5e-09,-5.53593336906977e-09
-0.895,5e-09,-7.22920837481314e-09
-0.894,5e-09,-8.9224833805565e-09
-0.893,5e-09,-1.06157583862999e-08
-0.892,5e-09,-1.23090333920432e-08
-0.891,5e-09,-1.40023083977866e-08
-0.89,5e-09,-1.569558340353e-08
-0.889,5e-09,-1.73888584092733e-08
-0.888,5e-09,-1.90821334150167e-08
-0.887,5e-09,-2.07754084207601e-08
-0.886,5e-09,-2.24686834265035e-08
-0.885,5e-09,-2.41619584322468e-08
-0.884,5e-09,-2.58552334379902e-08
-0.883,5e-09,-2.75485084437336e-08
-0.882,5e-09,-2.92417834494769e-08
-0.881,5e-09,-3.09350584552203e-08
-0.88,5e-09,-3.26283334609637e-08
-0.879,5e-09,-3.4321608466707e-08
-0.878,5e-09,-3.60148834724504e-08
-0.877,5e-09,-3.77081584781938e-08
-0.876,5e-09,-3.94014334839371e-08
-0.875,5e-09,-4.10947084896805e-08
-0.874,5e-09,-4.27879834954239e-08
-0.873,5e-09,-4.44812585011672e-08
-0.872,5e-09,-4.61745335069106e-08
-0.871,5e-09,-4.7867808512654e-08
-0.87,5e-09,-4.95610835183974e-08
-0.869,5e-09,-5.12543585241407e-08
-0.868,5e-09,-5.29476335298841e-08
-0.867,5e-09,-5.46409085356275e-08
-0.866,5e-09,-5.63341835413708e-08
-0.865,5e-09,-5.80274585471142e-08
-0.864,5e-09,-5.97207335528576e-08
-0.863,5e-09,-6.14140085586009e-08
-0.862,5e-09,-6.31072835643443e-08
-0.861,5e-09,-6.48005585700877e-08
-0.86,5e-09,-6.6493833575831e-08
-0.859,5e-09,-6.81871085815744e-08
-0.858,5e-09,-6.98803835873178e-08
-0.857,5e-09,-7.15736585930611e-08
-0.856,5e-09,-7.32669335988045e-08
-0.855,5e-09,-7.49602086045479e-08
-0.854,5e-09,-7.66534836102912e-08
-0.853,5e-09,-7.83467586160346e-08
-0.852,5e-09,-8.0040033621778e-08
-0.851,5e-09,-8.17333086275214e-08
-0.85,5e-09,-8.34265836332647e-08
-0.849,5e-09,-8.51198586390081e-08
-0.848,5e-09,-8.68131336447515e-08
-0.847,5e-09,-8.85064086504948e-08
-0.846,5e-09,-9.01996836562382e-08
-0.845,5e-09,-9.18929586619816e-08
-0.844,5e-09,-9.35862336677249e-08
-0.843,5e-09,-9.52795086734683e-08
-0.842,5e-09,-9.69727836792117e-08
-0.841,5e-09,-9.8666058684955e-08
-0.84,5e-09,-1.00359333690698e-07
-0.839,5e-09,-9.41506586696394e-08
-0.838,5e-09,-8.79419836485804e-08
-0.837,5e-09,-8.17333086275213e-08
-0.836,5e-09,-7.55246336064623e-08
-0.835,5e-09,-6.93159585854033e-08
-0.834,5e-09,-6.31072835643442e-08
-0.833,5e-09,-5.68986085432852e-08
-0.832,5e-09,-5.06899335222269e-08
-0.831,5e-09,-4.44812585011678e-08
-0.83,5e-09,-3.82725834801088e-08
-0.829,5e-09,-3.20639084590498e-08
-0.828,5e-09,-2.58552334379908e-08
-0.827,5e-09,-1.96465584169317e-08
-0.826,5e-09,-1.34378833958727e-08
-0.825,5e-09,-7.22920837481367e-09
-0.824,5e-09,-1.02053335375463e-09
-0.823,5e-09,5.18814166730439e-09
-0.822,5e-09,1.13968166883634e-08
-0.821,5e-09,1.76054917094224e-08
-0.82,5e-09,2.38141667304815e-08
-0.819,5e-09,3.00228417515405e-08
-0.818,5e-09,3.62315167725995e-08
-0.817,5e-09,4.24401917936586e-08
-0.816,5e-09,4.86488668147176e-08
-0.815,5e-09,5.48575418357766e-08
-0.814,5e-09,6.10662168568356e-08
-0.813,5e-09,6.72748918778947e-08
-0.812,5e-09,7.34835668989537e-08
-0.811,5e-09,7.96922419200127e-08
-0.81,5e-09,8.59009169410718e-08
-0.809,5e-09,9.21095919621308e-08
-0.808,5e-09,9.83182669831898e-08
-0.807,5e-09,1.04526942004249e-07
-0.806,5e-09,1.10735617025308e-07
-0.805,5e-09,1.16944292046367e-07
-0.804,5e-09,1.23152967067426e-07
-0.803,5e-09,1.29361642088485e-07
-0.802,5e-09,1.35570317109544e-07
-0.801,5e-09,1.41778992130603e-07
-0.8,5e-09,1.47987667151662e-07
-0.799,5e-09,1.54196342172721e-07
-0.798,5e-09,1.6040501719378e-07
-0.797,5e-09,1.66613692214839e-07
-0.796,5e-09,1.72822367235898e-07
-0.795,5e-09,1.79031042256957e-07
-0.794,5e-09,1.85239717278016e-07
-0.793,5e-09,1.91448392299075e-07
-0.792,5e-09,1.97657067320134e-07
-0.791,5e-09,2.03865742341193e-07
