mu,psi_ref_gauss,psi_hat_gauss,psi_ref_heaviside,psi_hat_heaviside
-1,0.107981933026376,0.104113690799448,5e-09,0.136718754316406
-0.9975,0.109065806164265,0.105520685567851,5e-09,0.124665814401694
-0.995,0.110157804744252,0.106922866602097,5e-09,0.113108284426
-0.9925,0.111257955248048,0.108320571052889,5e-09,0.102034174339923
-0.99,0.112366283807736,0.109714131116503,5e-09,0.091431676189253
-0.9875,0.113482816199648,0.111103874065756,5e-09,0.0812891623863521
-0.985,0.114607577838234,0.1124901222809,5e-09,0.0715951839911371
-0.9825,0.115740593769912,0.113873193280428,5e-09,0.0623384690016298
-0.98,0.116881888666903,0.115253399751811,5e-09,0.0535079206540459
-0.9775,0.11803148682105,0.116631049582155,5e-09,0.045092615732414
-0.975,0.119189412137632,0.118006445888775,5e-09,0.0370818028876811
-0.9725,0.120355688129153,0.1193798870497,5e-09,0.0294649009662999
-0.97,0.12153033790913,0.120751666734094,5e-09,0.022231497348256
-0.9675,0.122713384185865,0.122122073932598,5e-09,0.0153713462945241
-0.965,0.12390484925621,0.123491392987598,5e-09,0.00887436730392423
-0.9625,0.12510475499932,0.124859903623415,5e-09,0.00273064347934902
-0.96,0.126313122870397,0.126227880976415,5e-09,-0.00306958009665233
-0.9575,0.127529973894433,0.127595595625039,5e-09,-0.0085358979769653
-0.955,0.128755328659939,0.128963313619762,5e-09,-0.0136777459556991
-0.9525,0.12998920731267,0.130331296512968,5e-09,-0.0185044026646944
-0.95,0.131231629549353,0.131699801388748,5e-09,-0.0230249911607768
-0.9475,0.132482614611397,0.133069080892623,5e-09,-0.0272484805037818
-0.945,0.133742181278614,0.134439383261188,5e-09,-0.0311836873253696
-0.9425,0.135010347862928,0.135810952351673,5e-09,-0.0348392773886623
-0.94,0.136287132202089,0.137184027671437,5e-09,-0.0382237671387169
-0.9375,0.137572551653384,0.13855884440737,5e-09,-0.041345525243871
-0.935,0.138866623087348,0.139935633455233,5e-09,-0.0442127741279726
-0.9325,0.140169362881483,0.141314621448903,5e-09,-0.0468335914935286
-0.93,0.141480786913967,0.142696030789556,5e-09,-0.0492159118357893
-0.9275,0.142800910557382,0.144080079674761,5e-09,-0.051367527947797
-0.925,0.144129748672436,0.145466982127501,5e-09,-0.05329609241642
-0.9225,0.145467315601693,0.146856948025115,5e-09,-0.0550091191093998
-0.92,0.146813625163314,0.148250183128164,5e-09,-0.0565139846534299
-0.9175,0.148168690644797,0.149646889109212,5e-09,-0.0578179299032982
-0.915,0.149532524796735,0.151047263581543,5e-09,-0.0589280614021093
-0.9125,0.15090513982658,0.152451500127783,5e-09,-0.0598513528326168
-0.91,0.152286547392415,0.153859788328455,5e-09,-0.0605946464596855
-0.9075,0.153676758596738,0.155272313790459,5e-09,-0.0611646545639113
-0.905,0.155075783980268,0.156689258175462,5e-09,-0.0615679608664206
-0.9025,0.15648363351575,0.158110799228218,5e-09,-0.0618110219448731
-0.9,0.157900316601788,0.159537110804813,5e-09,-0.0619001686406943
-0.8975,0.159325842056686,0.160968362900823,5e-09,-0.0618416074575601
-0.895,0.160760218112308,0.162404721679404,5e-09,-0.0616414219511585
-0.8925,0.16220345240796,0.163846349499295,5e-09,-0.0613055741102517
-0.89,0.163655551984286,0.165293404942748,5e-09,-0.0608399057290631
-0.8875,0.165116523277183,0.166746042843383,5e-09,-0.0602501397710153
-0.885,0.166586372111749,0.168204414313958,5e-09,-0.0595418817238395
-0.8825,0.168065103696237,0.169668666774065,5e-09,-0.0587206209460835
-0.88,0.169552722616044,0.171138943977748,5e-09,-0.0577917320050411
-0.8775,0.171049232827725,0.172615386041044,5e-09,-0.0567604760061286
-0.875,0.172554637653023,0.174098129469444,5e-09,-0.0556320019137288
-0.8725,0.174068939772937,0.175587307185276,5e-09,-0.0544113478635327
-0.87,0.175592141221811,0.177083048555012,5e-09,-0.0531034424663966
-0.8675,0.177124243381459,0.178585479416498,5e-09,-0.0517131061037437
-0.865,0.17866524697531,0.180094722106099,5e-09,-0.0502450522145312
-0.8625,0.180215152062596,0.181610895485779,5e-09,-0.0487038885738098
-0.86,0.181773958032566,0.183134114970089,5e-09,-0.0470941185628964
-0.8575,0.183341663598733,0.184664492553084,5e-09,-0.0454201424311879
-0.855,0.184918266793161,0.186202136835166,5e-09,-0.0436862585496371
-0.8525,0.186503764960787,0.187747153049843,5e-09,-0.0418966646559168
-0.85,0.188098154753774,0.189299643090407,5e-09,-0.040055459091295
-0.8475,0.189701432125911,0.190859705536547,5e-09,-0.0381666420292478
-0.845,0.191313592327048,0.19242743568087,5e-09,-0.0362341166958293
-0.8425,0.192934629897574,0.194002925555352,5e-09,-0.0342616905818287
-0.84,0.194564538662935,0.19558626395771,5e-09,-0.0322530766467345
-0.8375,0.196203311728196,0.197177536477692,5e-09,-0.0302118945145307
