mu,psi_ref,psi_hat
-1,5e-09,4.95238095238107e-09
-0.999,5e-09,4.95366666666678e-09
-0.998,5e-09,4.95495238095249e-09
-0.997,5e-09,4.95623809523821e-09
-0.996,5e-09,4.95752380952392e-09
-0.995,5e-09,4.95880952380964e-09
-0.994,5e-09,4.96009523809535e-09
-0.993,5e-09,4.96138095238106e-09
-0.992,5e-09,4.96266666666678e-09
-0.991,5e-09,4.96395238095249e-09
-0.99,5e-09,4.9652380952382e-09
-0.989,5e-09,4.96652380952392e-09
-0.988,5e-09,4.96780952380963e-09
-0.987,5e-09,4.96909523809534e-09
-0.986,5e-09,4.97038095238106e-09
-0.985,5e-09,4.97166666666677e-09
-0.984,5e-09,4.97295238095248e-09
-0.983,5e-09,4.9742380952382e-09
-0.982,5e-09,4.97552380952391e-09
-0.981,5e-09,4.97680952380962e-09
-0.98,5e-09,4.97809523809534e-09
-0.979,5e-09,4.97938095238105e-09
-0.978,5e-09,4.98066666666676e-09
-0.977,5e-09,4.98195238095248e-09
-0.976,5e-09,4.98323809523819e-09
-0.975,5e-09,4.9845238095239e-09
-0.974,5e-09,4.98580952380962e-09
-0.973,5e-09,4.98709523809533e-09
-0.972,5e-09,4.98838095238104e-09
-0.971,5e-09,4.98966666666676e-09
-0.97,5e-09,4.99095238095247e-09
-0.969,5e-09,4.99223809523818e-09
-0.968,5e-09,4.9935238095239e-09
-0.967,5e-09,4.99480952380961e-09
-0.966,5e-09,4.99609523809532e-09
-0.965,5e-09,4.99738095238104e-09
-0.964,5e-09,4.99866666666675e-09
-0.963,5e-09,4.99995238095246e-09
-0.962,5e-09,5.00123809523818e-09
-0.961,5e-09,5.00252380952389e-09
-0.96,5e-09,5.0038095238096e-09
-0.959,5e-09,5.00509523809532e-09
-0.958,5e-09,5.00638095238103e-09
-0.957,5e-09,5.00766666666674e-09
-0.956,5e-09,5.00895238095246e-09
-0.955,5e-09,5.01023809523817e-09
-0.954,5e-09,5.01152380952389e-09
-0.953,5e-09,5.0128095238096e-09
-0.952,5e-09,5.01409523809531e-09
-0.951,5e-09,5.01538095238102e-09
-0.95,5e-09,5.01666666666674e-09
-0.949,5e-09,5.01795238095245e-09
-0.948,5e-09,5.01923809523817e-09
-0.947,5e-09,5.02052380952388e-09
-0.946,5e-09,5.02180952380959e-09
-0.945,5e-09,5.02309523809531e-09
-0.944,5e-09,5.02438095238102e-09
-0.943,5e-09,5.02566666666673e-09
-0.942,5e-09,5.02695238095245e-09
-0.941,5e-09,5.02823809523816e-09
-0.94,5e-09,5.02952380952387e-09
-0.939,5e-09,5.03080952380959e-09
-0.938,5e-09,5.0320952380953e-09
-0.937,5e-09,5.03338095238101e-09
-0.936,5e-09,5.03466666666673e-09
-0.935,5e-09,5.03595238095244e-09
-0.934,5e-09,5.03723809523815e-09
-0.933,5e-09,5.03852380952387e-09
-0.932,5e-09,5.03980952380958e-09
-0.931,5e-09,5.04109523809529e-09
-0.93,5e-09,5.04238095238101e-09
-0.929,5e-09,5.04366666666672e-09
-0.928,5e-09,5.04495238095243e-09
-0.927,5e-09,5.04623809523815e-09
-0.926,5e-09,5.04752380952386e-09
-0.925,5e-09,5.04880952380957e-09
-0.924,5e-09,5.05009523809529e-09
-0.923,5e-09,5.051380952381e-09
-0.922,5e-09,5.05266666666671e-09
-0.921,5e-09,5.05395238095243e-09
-0.92,5e-09,5.05523809523814e-09
-0.919,5e-09,5.05652380952385e-09
-0.918,5e-09,5.05780952380957e-09
-0.917,5e-09,5.05909523809528e-09
-0.916,5e-09,5.06038095238099e-09
-0.915,5e-09,5.06166666666671e-09
-0.914,5e-09,5.06295238095242e-09
-0.913,5e-09,5.06423809523814e-09
-0.912,5e-09,5.06552380952385e-09
-0.911,5e-09,5.06680952380956e-09
-0.91,5e-09,5.06809523809528e-09
-0.909,5e-09,5.06938095238099e-09
-0.908,5e-09,5.0706666666667e-09
-0.907,5e-09,5.07195238095242e-09
-0.906,5e-09,5.07323809523813e-09
