mu,psi_ref,psi_hat
-1,0.107981933026376,0.108626681509336
-0.999,0.108414508937671,0.109043495910176
-0.998,0.108848382354819,0.109461909680916
-0.997,0.109283554992494,0.109881928958541
-0.996,0.109720028556609,0.110303559903587
-0.995,0.110157804744252,0.110726808700226
-0.994,0.110596885243619,0.111151681556361
-0.993,0.11103727173396,0.111578184703714
-0.992,0.11147896588551,0.112006324397921
-0.991,0.111921969359429,0.112436106918619
-0.99,0.112366283807736,0.112867538569544
-0.989,0.112811910873253,0.113300625678617
-0.988,0.113258852189533,0.113735374598043
-0.987,0.113707109380807,0.1141717917044
-0.986,0.114156684061912,0.114609883398732
-0.985,0.114607577838234,0.115049656106646
-0.984,0.115059792305642,0.115491116278407
-0.983,0.115513329050425,0.115934270389028
-0.982,0.11596818964923,0.116379124938366
-0.981,0.116424375668999,0.116825686451223
-0.98,0.116881888666903,0.117273961477435
-0.979,0.117340730190282,0.11772395659197
-0.978,0.117800901776579,0.118175678395026
-0.977,0.118262404953277,0.118629133512126
-0.976,0.118725241237837,0.119084328594218
-0.975,0.119189412137632,0.119541270317768
-0.974,0.119654919149887,0.119999965384862
-0.973,0.120121763761609,0.120460420523303
-0.972,0.120589947449531,0.120922642486707
-0.971,0.121059471680043,0.121386638054608
-0.97,0.12153033790913,0.12185241403255
-0.969,0.122002547582305,0.122319977252195
-0.968,0.122476102134553,0.122789334571417
-0.967,0.122951002990258,0.123260492874402
-0.966,0.123427251563144,0.123733459071757
-0.965,0.12390484925621,0.1242082401006
-0.964,0.124383797461667,0.124684842924672
-0.963,0.124864097560872,0.125163274534432
-0.962,0.125345750924264,0.125643541947165
-0.961,0.125828758911301,0.126125652207079
-0.96,0.126313122870397,0.126609612385415
-0.959,0.126798844138855,0.127095429580543
-0.958,0.127285924042805,0.127583110918075
-0.957,0.127774363897137,0.128072663550961
-0.956,0.128264165005441,0.128564094659601
-0.955,0.128755328659939,0.129057411451944
-0.954,0.129247856141422,0.129552621163599
-0.953,0.129741748719186,0.130049731057938
-0.952,0.130237007650969,0.130548748426204
-0.951,0.130733634182883,0.131049680587618
-0.95,0.131231629549353,0.131552534889484
-0.949,0.131730994973051,0.1320573187073
-0.948,0.132231731664831,0.132564039444863
-0.947,0.132733840823668,0.133072704534382
-0.946,0.13323732363659,0.133583321436583
-0.945,0.133742181278614,0.134095897640819
-0.944,0.134248414912685,0.134610440665181
-0.943,0.134756025689607,0.135126958056609
-0.942,0.135265014747981,0.135645457390999
-0.941,0.135775383214141,0.136165946273321
-0.94,0.136287132202089,0.136688432337721
-0.939,0.13680026281343,0.137212923247643
-0.938,0.137314776137308,0.137739426695933
-0.937,0.137830673250344,0.138267950404957
-0.936,0.138347955216565,0.138798502126713
-0.935,0.138866623087348,0.139331089642943
-0.934,0.139386677901351,0.139865720765251
-0.933,0.139908120684449,0.140402403335212
-0.932,0.140430952449668,0.140941145224493
-0.931,0.140955174197127,0.141481954334963
-0.93,0.141480786913967,0.142024838598814
-0.929,0.142007791574288,0.142569805978674
-0.928,0.142536189139089,0.143116864467722
-0.927,0.143065980556199,0.143666022089812
-0.926,0.143597166760214,0.144217286899584
-0.925,0.144129748672436,0.144770666982585
-0.924,0.144663727200804,0.145326170455389
-0.923,0.145199103239832,0.145883805465711
-0.922,0.145735877670547,0.146443580192532
-0.921,0.146274051360423,0.147005502846218
-0.92,0.146813625163314,0.147569581668636
-0.919,0.147354599919396,0.148135824933282
-0.918,0.147896976455101,0.148704240945393
-0.917,0.148440755583049,0.149274838042081
-0.916,0.148985938101989,0.147314759290812
-0.915,0.149532524796735,0.147919222276701
-0.914,0.150080516438099,0.148526165499485
-0.913,0.15062991378283,0.149135599136092
-0.912,0.151180717573548,0.149747533405204
-0.911,0.151732928538685,0.150361978567436
-0.91,0.152286547392415,0.150978944925502
-0.909,0.152841574834595,0.15159844282439
-0.908,0.1533980115507,0.152220482651539
-0.907,0.153955858211762,0.152845074837006
-0.906,0.154515115474301,0.153472229853646
-0.905,0.155075783980268,0.154101958217286
-0.904,0.155637864356978,0.154734270486904
-0.903,0.156201357217047,0.155369177264799
-0.902,0.156766263158332,0.156006689196778
-0.901,0.157332582763865,0.156646816972328
-0.9,0.157900316601788,0.157289571324797
-0.899,0.158469465225298,0.157934963031574
-0.898,0.159040029172574,0.15858300291427
-0.897,0.159612008966723,0.159233701838901
-0.896,0.160185405115712,0.159887070716065
-0.895,0.160760218112308,0.160543120501133
-0.894,0.161336448434014,0.161201862194424
-0.893,0.161914096543007,0.161863306841396
-0.892,0.162493162886076,0.162527465532827
-0.891,0.16307364789456,0.163194349405006
