model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps
PN,3,4,1.46737513316791,3.41818515325054,6.83092359195726e-12,1e-08,8.2292226,1
MN,1,2,1.46737513316791,3.41623330098392,4.9704975953195e-06,1e-08,9.5622589,1
HOLOM1PN,3,4,1.46737513316791,3.41818515322716,1.28638938234436e-12,1e-08,15.2886091,1
